$\log_{10}(L_0)$, mean value = 17.8076246968, cosmic std dev=0.0198125186745, mean sigma per box =0.150082796188
$\log_{10}(M_0)$, mean value = 11.119460579, cosmic std dev=0.0601358065131, mean sigma per box =0.642532804052
$\beta$, mean value = 1.43705896343, cosmic std dev=0.178253100134, mean sigma per box =1.37416358513
$\gamma$, mean value = 0.518242492031, cosmic std dev=0.0461244563387, mean sigma per box =0.245817572122
