$\log_{10}(L_0)$, mean value = 18.0668181805, cosmic std dev=0.0288558407431, mean sigma per box =0.115498563539
$\log_{10}(M_0)$, mean value = 11.1894829902, cosmic std dev=0.0718242117247, mean sigma per box =0.72909362196
$\beta$, mean value = 1.48014744519, cosmic std dev=0.175026973523, mean sigma per box =1.2988714515
$\gamma$, mean value = 0.402845130968, cosmic std dev=0.0575764062455, mean sigma per box =0.314709555486
