#min_mag_bin max_mag_bin log10_LF/(Mpc/h)^-3 log10_sigmaLF/(Mpc/h)^-3
-22.250000 -21.750000 -5.040959 0.227129
-21.750000 -21.250000 -4.471083 0.121642
-21.250000 -20.750000 -4.153045 0.085131
-20.750000 -20.250000 -3.718967 0.054342
-20.250000 -19.750000 -3.401209 0.041008
-19.750000 -19.250000 -3.232251 0.035541
-19.250000 18.750000 -3.077015 0.045029
