#min_mag_bin max_mag_bin log10_LF/(Mpc/h)^-3 log10_sigmaLF/(Mpc/h)^-3
-22.750000 -22.250000 -7.575118 0.466796
-22.250000 -21.750000 -5.661544 0.398937
-21.750000 -21.250000 -4.838632 0.701976
-21.250000 -20.750000 -3.889410 0.261785
-20.750000 -20.250000 -3.638272 0.391381
