#min_mag_bin max_mag_bin log10_LF/(Mpc/h)^-3 log10_sigmaLF/(Mpc/h)^-3
-22.700000 -22.270000 -5.397940 0.422549
-22.270000 -21.770000 -4.657577 0.165497
-21.770000 -21.270000 -4.236572 0.114927
-21.270000 -20.770000 -3.920819 0.091822
-20.770000 -20.270000 -3.533132 0.068751
-20.270000 -19.770000 -3.226945 0.066426
-19.770000 -19.270000 -2.912929 0.057553
-19.270000 -18.270000 -2.764472 0.076532
-18.270000 -17.270000 -2.233587 0.098321
-17.270000 -16.270000 -2.025949 0.142268
