# L_0 	 M_0 	 beta 	 gamma 	 chi_sqr 	 Number of Bins
17.6500000001	11.3100000001	0.8600000001	0.5300000001	306.395012284	18
17.6472588368	11.3041326463	0.888008435415	0.542238622979	303.757397167	18
17.6367972277	11.3007079428	0.842198292494	0.571660140437	294.954767354	18
17.6601830548	11.3002955492	0.831796199845	0.511559541279	313.507357771	18
17.6420490286	11.3104601601	0.821075233379	0.593643534781	294.206730848	18
17.6508006473	11.3358541165	0.777209811868	0.593797279731	300.694575971	18
17.6331321703	11.3138643813	0.847262764811	0.601853433285	311.259725583	17
17.6485543856	11.3177759575	0.832292203111	0.603275502395	297.66290874	18
17.6423979863	11.3284991017	0.796030295066	0.474080531707	270.435413574	20
17.6251748378	11.3067747049	0.788868515372	0.577717570441	287.384681332	18
17.6473939104	11.3350006521	0.856398250542	0.423472343112	274.499064714	20
17.6468703981	11.3357325825	0.723911524004	0.520987956906	306.075692157	18
17.6377858907	11.3222831206	0.777195669391	0.585972462173	293.648630127	18
17.651675193	11.326610747	0.809903348355	0.464970909386	275.323985148	20
17.6503035126	11.3328824365	0.77346194239	0.534135263318	307.240070784	18
17.6416291398	11.3256190279	0.816346438513	0.446092918653	272.204810638	20
17.6305260374	11.3181156206	0.700630131611	0.477533620826	281.778846831	19
17.6439816293	11.3362483672	0.824238854605	0.467163489679	271.8855323	20
17.636234758	11.338095306	0.845388191778	0.4336142775	269.528644894	20
17.6345983767	11.3312586176	0.936019070441	0.38656343754	271.762487537	20
17.623784172	11.3373021302	0.751561273007	0.498646924292	296.633968999	18
17.6476492793	11.341985388	0.817985200572	0.40230851887	275.811682772	20
17.6281115251	11.3282702177	0.760785319562	0.51002087286	297.319407621	18
17.6287188308	11.3442253852	0.811321117567	0.456850069755	265.451709676	20
17.6334708682	11.3471285956	0.81089483636	0.428247088491	268.335324622	20
17.6193883065	11.3540599323	0.734321953288	0.515095502801	293.014306576	18
17.626010022	11.3261851278	0.830840720855	0.370888980687	269.629882509	20
17.6365180214	11.3284525818	0.836521097185	0.493362344154	303.162290662	18
17.6347835107	11.351324783	0.811655845735	0.61331486447	290.144204128	18
17.6245989741	11.3403084282	0.789277040813	0.449851034228	264.227511345	20
17.6293394509	11.3425976213	0.86644787945	0.539629892859	295.93199737	18
