# L_0 	 M_0 	 beta 	 gamma 	 chi_sqr 	 Number of Bins
17.6719	11.25	0.9	0.2	297.034426115	20
17.645197244	11.2553223242	0.868069833264	0.228573578875	286.405165909	20
17.6454534693	11.263887273	0.807579558126	0.193365716603	287.119491439	20
17.6347570682	11.262294148	0.771030286587	0.210175817204	282.260249303	20
17.6146994028	11.250139423	0.728140312153	0.245583415339	274.170929373	20
17.6246789297	11.2422231123	0.806894337809	0.161803050111	282.910792255	20
17.611360259	11.2573687059	0.709511186414	0.280087774909	270.788348691	20
17.5949627357	11.2490927314	0.638731464361	0.276816612803	263.576676507	20
17.5809018953	11.2670440067	0.629866887829	0.280675016241	257.266427306	20
17.5864604235	11.2632164164	0.720042724623	0.343286919477	256.583116089	20
17.5784416527	11.2609498328	0.773176992418	0.370701220969	286.242499495	18
17.5771151696	11.2752030915	0.779125269104	0.294192816725	256.572025169	20
17.5670884483	11.2755935155	0.722345539815	0.294099618129	251.879867857	20
17.5709129944	11.2831702533	0.680729351676	0.280188643997	253.342992714	20
17.5988596179	11.2654995032	0.740596486649	0.245669517985	267.884205313	20
17.5788175922	11.2768562067	0.805595309858	0.29747620681	257.112301124	20
17.5703775738	11.2692539969	0.694617627512	0.242923771562	256.164295939	20
17.5436336088	11.2842537545	0.792258493299	0.252455895969	245.516040169	20
17.5367093847	11.2804120499	0.807199027204	0.242441894183	244.153677517	20
17.5536432141	11.2789137812	0.81765168241	0.109726041879	256.648525296	20
17.5325107083	11.2720451418	0.814258787686	0.244131457108	243.379017841	20
17.5465063269	11.2655388791	0.884360568225	0.194929724941	238.309618696	21
17.5516064852	11.2577490845	0.850851899455	0.17205531672	255.034675557	20
17.5614143245	11.266858644	0.880980116883	0.158745164829	258.70487014	20
17.5416604753	11.2680036834	0.803667747705	0.157550180303	251.279988582	20
17.5275478066	11.2740978935	0.920153042328	0.222918807232	231.43779765	21
17.5274237401	11.2752029464	0.930877164043	0.288780381875	226.926318025	21
17.5317043197	11.2678965382	0.91613846559	0.265408481973	229.93926217	21
17.5358108523	11.2794541609	0.882979795611	0.207326306122	232.913186688	21
17.5177284555	11.2792390157	0.881598707467	0.296553291103	221.052690571	21
17.5265423547	11.2945654082	0.859456833001	0.237106410623	227.512145817	21
17.5110639067	11.2742273031	0.874182333734	0.296403578132	232.824783241	20
17.5100825393	11.2761419109	0.830966174446	0.274246957512	220.028092615	21
17.5299234668	11.2816979551	0.830249100224	0.24624483367	241.498188849	20
17.5098760897	11.2842888841	0.831473614406	0.302769273026	244.599671702	19
17.5081157695	11.285803349	0.777740433883	0.247792398123	232.117402133	20
17.5138811397	11.2794038206	0.868108893682	0.374667291626	240.072623671	19
17.5164121628	11.2863233108	0.873576143908	0.252483453119	223.676899974	21
17.508008038	11.2739560017	0.804544353291	0.289909276196	245.653207284	19
17.5178479684	11.2843062618	0.799251062272	0.238732436811	236.565753189	20
17.5157302343	11.2900357209	0.86403121514	0.235684850911	224.388977404	21
17.5095966107	11.2830881323	0.884073444763	0.276665054975	219.802963148	21
17.5126172661	11.2913769321	0.840753084472	0.298154243958	231.859924911	20
17.4876758212	11.2939434512	0.813955639109	0.198980127085	216.098494123	21
17.4825734944	11.2913439699	0.76360408776	0.196905357398	213.346002695	21
17.4800296628	11.2890192385	0.765226459214	0.239190156274	209.959697178	21
17.4900757625	11.2886727384	0.718216856138	0.182827372641	227.79853143	20
17.4694297709	11.3004797705	0.727768801982	0.263644201763	229.551460642	19
17.4767555766	11.2923652163	0.680656911558	0.204740303809	221.281365498	20
