# L_0 	 M_0 	 beta 	 gamma 	 chi_sqr 	 Number of Bins
17.6500000001	11.3100000001	0.8600000001	0.5300000001	312.392348821	18
17.6699765858	11.3041711968	0.838076350116	0.541420081391	321.586032912	18
17.6502662295	11.3108131726	0.795477705075	0.590291120195	305.513247988	18
17.6441099772	11.3138666563	0.789665677039	0.573361971509	304.692983019	18
17.6434285311	11.3157262943	0.706361582219	0.604634523094	299.318514687	18
17.6485966365	11.320130425	0.757583474711	0.628314478884	322.982517082	17
17.6498737778	11.3184452015	0.685188618265	0.590686737732	305.321826048	18
17.6360314417	11.3042758619	0.675206940928	0.584893720892	297.135659091	18
17.6478409444	11.3132161892	0.735707420322	0.63016214691	320.504563845	17
17.6515992162	11.3024212583	0.622267228835	0.539985356801	311.332993507	18
17.6281333076	11.3034976659	0.6694432115	0.563059961758	295.603462723	18
17.6254128339	11.3125173519	0.653989475069	0.527896137408	299.18241587	18
17.6267425747	11.2993725664	0.663264715652	0.522398528854	299.845646275	18
17.6154336871	11.3046841446	0.635568266584	0.596117768541	305.358555473	17
17.6341393304	11.3217867288	0.661343962705	0.403878299096	276.832805405	20
17.6295405711	11.3086984225	0.600377739862	0.417610157577	273.098381907	20
17.6163821377	11.3135819779	0.589121663607	0.374257671359	270.204301949	20
17.6216184451	11.3088663228	0.5465423448	0.325944122087	275.250742769	20
17.6163482332	11.3339951241	0.613113312135	0.426346032832	266.7650863	20
17.6256989945	11.3471687206	0.564040921431	0.515449765645	302.200813594	18
17.6023255064	11.3275323984	0.604663826978	0.413862052269	262.252621163	20
17.6132657632	11.3345260052	0.60262654627	0.414814699288	266.302654862	20
17.6051971579	11.3200839141	0.542578095541	0.387371349737	264.519249085	20
17.6109448274	11.3246575101	0.623475508954	0.366633197797	268.833815747	20
17.6127567935	11.3366846515	0.578251772987	0.450301604228	263.496324835	20
17.6018838503	11.3368803415	0.636098126968	0.269402833304	269.380639521	20
17.6052422674	11.3180108825	0.606172067566	0.397066513717	264.180556057	20
17.5889840077	11.3397954781	0.536847587088	0.459864800317	288.084992134	18
17.594384388	11.323994958	0.685875036328	0.509362487182	285.796768165	18
17.6001224438	11.3304388133	0.739303576802	0.402760289567	261.40241485	20
17.6031760179	11.3380892486	0.722563622498	0.333766512376	266.675809664	20
17.6001435142	11.3315916922	0.715370160406	0.341836147142	265.517100161	20
17.5980636386	11.323004154	0.770565141594	0.389782515199	262.425538233	20
17.5711994071	11.326938206	0.718580767331	0.468151211555	278.646961745	18
