# L_0 	 M_0 	 beta 	 gamma 	 chi_sqr 	 Number of Bins
17.6500000001	11.3100000001	0.8600000001	0.5300000001	270.501694438	20
17.6452618777	11.3006796968	0.85248064394	0.461219997321	275.311003453	20
17.657970353	11.3057831535	0.806239389795	0.520189610362	275.01272274	20
17.6565248149	11.3377461514	0.854413173445	0.565993337768	270.123777223	20
17.6534790057	11.3578557182	0.840179892449	0.495229925143	274.552544061	20
17.6583460133	11.3326604743	0.918829635223	0.602616571197	305.00594361	18
17.6397192371	11.3422762476	0.878937312061	0.641542638179	290.217737604	18
17.6482252126	11.3472127132	0.891909434577	0.596534560877	300.780602747	18
17.6562643017	11.342317397	0.814678567169	0.561833114649	271.562291941	20
17.6603193878	11.3465638581	0.880152224154	0.565266965595	272.468170606	20
17.6498051695	11.3416955702	0.901301018482	0.508357943346	271.507510651	20
17.6490591143	11.3599490508	0.881191458694	0.54594379253	268.545507692	20
17.6495928507	11.3546480851	0.947589079018	0.586728205715	302.570161786	18
17.6551187024	11.3734277544	0.915870895515	0.510657897867	272.764471754	20
17.6544976463	11.3558378088	0.893878240923	0.457121375038	277.243561695	20
17.6394752549	11.3760362878	0.920517029455	0.526065118299	265.560297166	20
17.641356835	11.3819884119	0.876901103234	0.478840370131	269.705377729	20
17.6454958894	11.3829846145	0.882065866747	0.438187233833	272.408939609	20
17.6451766895	11.3689870805	0.848463885509	0.512543857763	269.924253447	20
17.6310700795	11.3830797462	0.982411377691	0.535376664284	246.463109741	21
17.6347010382	11.3806443599	1.01637886556	0.555681937574	246.839391053	21
17.6401138263	11.3712361949	1.07331588712	0.552164641547	248.349750902	21
17.6273774819	11.3866881831	0.987650810648	0.529377587811	245.38466441	21
17.6266241229	11.380599647	0.906291035362	0.546971709377	258.220521528	20
17.6219586373	11.3782681015	0.930306436821	0.530437108012	243.756385645	21
17.6193137039	11.387026828	0.92685974777	0.483938315773	245.229526517	21
17.6098160227	11.3750780176	0.964642887588	0.522886958791	239.896310983	21
17.6272770485	11.3827508025	1.0555189863	0.477759289009	248.506681842	21
17.6202254688	11.3703108082	0.953584285963	0.504275293939	244.077794463	21
17.6093547585	11.3730683563	1.02252446268	0.463080108072	243.218213977	21
17.618603947	11.3952161999	0.976779704019	0.576495839597	269.710757782	19
17.6207777911	11.3723248069	0.899803567618	0.555220941569	255.410226015	20
17.5936781799	11.3771624058	0.969083261384	0.527495283477	233.229042832	21
17.5839179953	11.3756892893	0.972943772949	0.481740656556	231.670751596	21
17.5928347289	11.3731051019	0.930401203504	0.565044529916	259.281521734	19
17.5908469064	11.3921272517	0.971253292148	0.416661713271	237.943872253	21
17.5817810958	11.3729675392	0.940997712115	0.483549790892	231.093153724	21
17.5839726676	11.3646626772	0.957201567301	0.455174310513	233.910420437	21
17.5701409174	11.3828555352	0.9456060173	0.565079686892	248.583308123	19
17.5846625589	11.3864662419	0.978708905933	0.503209434441	230.450188387	21
17.5793122966	11.3734865891	0.958159174365	0.492411635012	229.476774713	21
17.5806911658	11.3809912377	1.01145777548	0.452178625331	232.422607631	21
17.5766267464	11.3622021533	0.983303926657	0.419446722476	234.151826411	21
17.5758116375	11.3803426703	0.941728619404	0.442934618314	231.41851512	21
17.5688448502	11.3548575771	1.04374303936	0.416853388543	231.855736199	21
17.5842698728	11.3670795049	0.919633321626	0.565931070257	254.845632412	19
17.5736206334	11.390907051	0.88626390103	0.537804070657	253.079467295	19
17.5631702725	11.3845369891	0.956678448574	0.540173242729	247.807930592	19
17.5829534661	11.3795322002	0.992039327291	0.488142189343	231.089385196	21
17.5852687511	11.3729175762	0.965568209056	0.410017279139	237.284088503	21
17.5721250588	11.3919752074	0.915274468609	0.436421670886	230.263930149	21
17.5788996446	11.3786478835	0.889223282039	0.483394942153	230.000313826	21
17.5786258437	11.3636835324	0.8569582859	0.516151828448	240.556205994	20
17.5762496708	11.3733283295	0.877935846575	0.525263601829	225.937283987	21
17.5791570927	11.369548998	0.826810853411	0.473160665067	244.31497877	20
17.5754113291	11.3835938945	0.870266859535	0.515505808211	226.526522636	21
17.5678038977	11.3919465648	1.00621447904	0.446483708374	227.014333717	21
17.5770722002	11.3774110566	0.918444617497	0.516600860986	227.070615777	21
17.5738244129	11.3663876327	0.843120672149	0.535103984518	269.786695878	18
17.5736659116	11.3604185777	0.88947592079	0.546165005168	251.436451224	19
17.5634812565	11.3829866452	0.811048641712	0.5575795878	262.05936313	18
17.5784966514	11.3930270288	0.84787045173	0.510690165905	228.020926006	21
17.5883845523	11.3754562948	0.9024505937	0.539910266462	244.094733077	20
17.5813049365	11.3761811014	0.867794850656	0.561568751655	253.730945368	19
17.5772394618	11.3829113353	0.924824079445	0.492184640737	228.703226189	21
17.5740343733	11.3691582669	0.816521873658	0.516620325395	238.727017184	20
17.5715064183	11.3719315048	0.880634786448	0.410700676628	232.534083172	21
17.5629008064	11.3529789209	0.945898006628	0.537311021615	248.130395051	19
17.5834059495	11.3841016906	0.8561188057	0.51400233766	229.922293573	21
17.5727087964	11.3708287893	0.912500928377	0.461895835468	229.051565213	21
17.5803340456	11.3808379073	0.88496268373	0.622785106223	247.053264322	19
17.5779607034	11.3686501911	0.907600721065	0.556478410934	252.020423742	19
17.5909049067	11.3612395634	0.934623089584	0.579622716559	255.960264478	19
17.5646056551	11.377016702	0.948849457807	0.512029881064	222.874166414	21
17.5596005525	11.3837344978	0.903235232249	0.487155389729	222.682571149	21
17.5588211944	11.3981106282	0.896088275281	0.473877034541	222.51530529	21
17.5508362039	11.3926148093	0.96547202951	0.462048508406	220.515361748	21
17.5345702549	11.3951045169	0.98526496033	0.492538686098	211.693136017	21
17.5307640553	11.39381019	0.929579599028	0.430783133487	215.040379772	21
17.536348702	11.3935453959	0.985991836138	0.441759541635	215.983466344	21
17.5620310147	11.417270155	0.948765698997	0.447304815121	224.19732614	21
17.5365223229	11.3889652818	0.97545464232	0.418269211352	217.290898677	21
17.5358164586	11.4078486881	0.9708024995	0.525233728602	236.485100095	19
17.5371040462	11.3987804758	0.924277716675	0.519819877305	237.251546549	19
17.535070155	11.3923213424	1.02673156268	0.471779597518	213.467911225	21
17.5340910528	11.3996147518	0.970813230083	0.48192052663	212.5293591	21
17.5282358287	11.3951499103	0.989802612101	0.444845568042	212.95019156	21
17.540533615	11.4044703103	1.01280959862	0.511269829798	212.628572145	21
17.5414512497	11.3895819272	0.907976279994	0.4429838442	218.383784541	21
17.5479985301	11.3957708901	1.0694805782	0.50753997516	215.279763616	21
17.5396786893	11.3861022091	0.973124851738	0.548737873212	236.438083257	19
17.5348492486	11.3993279	0.985276820871	0.472208448816	213.700084752	21
17.5308207335	11.3972319154	0.932236906651	0.569401255729	229.870384389	19
17.5433456451	11.4033118097	0.9482649186	0.528895021835	240.225745959	19
17.5381205404	11.4000247501	1.00889147718	0.423068313666	217.485620222	21
17.5441768341	11.3971150297	1.04842977497	0.502049829048	214.570278388	21
17.5199499191	11.3981847284	0.962227274524	0.540951573443	228.416733567	19
17.5284047341	11.4014532778	0.928977777038	0.539333577618	232.201815074	19
17.5250427602	11.3835178902	0.979763618428	0.555087336103	228.234147005	19
17.5348888141	11.3901079975	1.00159383687	0.566188434413	232.15863318	19
17.5285885068	11.3845929859	0.954881924556	0.506563757343	235.299752193	19
17.5385114648	11.4070816948	0.942406330217	0.478685824522	214.874878349	21
17.5301053085	11.4023774753	0.951994179354	0.592984321713	226.829541907	19
17.5409391351	11.3914044777	0.972720451779	0.438593387818	218.320764084	21
17.5268684926	11.3951838471	0.950060008816	0.598127159706	224.09475365	19
17.5383031725	11.3830742941	0.923758445871	0.553529766177	235.45305434	19
17.5247180935	11.409228862	1.053378309	0.458678225345	209.624067274	21
17.5059578313	11.4072207772	1.02982330441	0.453765096725	203.699395922	21
17.4945521646	11.400818083	1.00299716477	0.502811178266	220.35798375	19
17.4841099587	11.3999610759	0.958626958398	0.391396658426	200.487738487	21
17.4957162223	11.4088287172	1.00392116254	0.284410976606	209.517026696	21
17.472618108	11.4177716102	0.882223293268	0.351633394103	197.217094083	21
17.4676974162	11.4088348093	0.832881407441	0.325796438184	197.513557983	21
17.4741913248	11.4106989001	0.91181189601	0.352729788066	198.795674095	21
17.4664056046	11.3940378458	0.73878330632	0.287544124914	200.128233793	21
17.4653092418	11.4288642881	0.870749123271	0.415614288234	190.469735956	21
17.4622037449	11.4236398004	0.824221837166	0.339147114756	194.291675383	21
17.4579424336	11.4457502331	0.79682572124	0.425612350147	186.617602523	21
17.459599865	11.4421162516	0.741748053464	0.293273119428	194.514421864	21
17.4528152578	11.4408222647	0.768856865574	0.487228749315	202.901283894	19
17.454117015	11.4526990024	0.861240402458	0.492769434248	202.890564359	19
17.4553389923	11.4462191522	0.825221436631	0.45135941365	183.931428056	21
17.4495921463	11.4473814745	0.823483994728	0.409288254098	184.387945571	21
17.4637832369	11.4558179145	0.890377468621	0.454481484463	186.944700628	21
17.464315383	11.4594153837	0.851259031697	0.384632533529	190.573591873	21
17.4504842612	11.4681488847	0.864688083491	0.486569974022	201.625497624	19
17.4531178703	11.4445427193	0.894840192974	0.454214624152	182.948571115	21
17.4693514626	11.4384298224	0.917323747869	0.455078970783	188.904448189	21
17.4448564504	11.4530599926	0.960097456478	0.432845437826	180.813789447	21
17.4421413056	11.4507152034	0.978493869109	0.406742292864	181.573101048	21
17.448177241	11.4333372356	0.916679564776	0.481697043568	201.120782053	19
17.4457399461	11.4600995238	0.951008902764	0.383095958853	183.441057478	21
17.4414560922	11.4606672492	0.908368749609	0.433016331173	179.143280308	21
17.4345530975	11.4505937887	0.828799053033	0.402298088914	179.227897024	21
17.4398341611	11.4722834788	0.884094311933	0.473291549345	197.879744507	19
17.4432158348	11.456633943	0.940747127132	0.415370400346	181.331139869	21
17.4380833536	11.4781093316	0.823600524878	0.412646104325	179.034086454	21
17.4490602285	11.4899577309	0.838606456819	0.480297676061	200.927238043	19
17.444756084	11.4803638872	0.830027416572	0.342716481596	184.824400068	21
17.4374408963	11.4635769556	0.881597534239	0.494103338577	195.456121938	19
17.4378921472	11.471211535	0.775647343367	0.425217136945	178.825652427	21
17.4497375662	11.4785317874	0.800254371864	0.336818045745	186.93017521	21
17.4313753964	11.4744459723	0.799174724121	0.342817246135	180.507129512	21
17.4193633678	11.4509034987	0.75617412685	0.285781840772	180.309925973	21
17.422217099	11.4429205654	0.828216570216	0.227879876499	184.79116724	21
17.4215328889	11.4335895793	0.802474395935	0.300674571652	181.629314867	21
17.4313179513	11.4585739412	0.700604339093	0.23371418561	186.795935662	21
17.4170389253	11.4622013571	0.817002675024	0.250801148547	181.09485804	21
17.4115481152	11.4322774205	0.720197974987	0.215747034939	181.91035897	21
17.4255342924	11.4569704841	0.729697322055	0.262792850392	183.396831765	21
17.4165993914	11.4454717367	0.830858829803	0.294858941102	179.766880726	21
17.4203487737	11.448610699	0.890529404435	0.319796040974	179.49366229	21
17.4139809885	11.440907395	0.963221308542	0.31430547347	178.075959882	21
17.4101177627	11.4345819233	0.982235117202	0.410317687205	170.05353411	21
17.4053245184	11.4674556256	0.930058876395	0.414015708803	166.884585051	21
17.4021613545	11.4755732559	1.00116267982	0.362649023283	168.766263461	21
17.4035148264	11.450351498	0.913948948194	0.475786933602	182.604466115	19
17.4105730262	11.4614482939	0.973302141719	0.399660085762	169.938616701	21
17.3981882674	11.456704031	0.840127208546	0.37658178241	167.385764593	21
17.4097917796	11.4741117882	0.968077099292	0.345028940847	172.68863527	21
17.414622946	11.4669067266	0.93062070861	0.435461723369	168.623799469	21
17.4021933096	11.4799565589	0.834263670572	0.385674204188	167.967987946	21
17.4100851708	11.4424473833	0.953727934038	0.45171382322	188.117030622	19
17.3922645596	11.4728731213	0.91245311351	0.317762531361	167.75441308	21
17.4035247128	11.4464805924	0.924309007993	0.383177534231	169.265995859	21
17.4076586062	11.4361618129	0.928306505618	0.531092302002	178.152147078	19
17.3900604037	11.4729430664	0.907960138022	0.439358929114	180.492584168	19
17.4227203609	11.4743331494	0.997650522872	0.420874579926	172.431476807	21
17.4061449673	11.4538092403	0.940896981107	0.460287747869	185.152858667	19
17.3914113854	11.4687936113	0.877996794105	0.392020764038	163.511669591	21
17.3875228104	11.4626508986	0.869601629194	0.420958661629	170.715412482	20
17.3820383455	11.460372583	0.877208654474	0.343635689184	163.946844218	21
17.3730575971	11.4595083462	0.880285453821	0.344584755273	161.086808026	21
17.3705182009	11.4599863224	0.911247506828	0.343507249303	160.029572961	21
17.3562145283	11.4602404031	0.948309543366	0.320169506939	156.56912946	21
17.3682411817	11.4569349424	0.93695866546	0.298552403123	162.371363172	21
17.3593064534	11.4655829826	0.988985885917	0.29850019358	158.509047673	21
17.36870455	11.458140052	0.964081757755	0.337841041642	160.287458049	21
17.3521440036	11.459589419	1.01714579939	0.352485825429	152.899776523	21
17.3523409905	11.4658053458	0.96784037251	0.383105959758	150.639595608	21
17.3638191889	11.4784294532	0.897213901343	0.365672042129	155.314304411	21
17.3643111293	11.4753244074	0.942233722892	0.365975427963	155.694775859	21
17.3604954893	11.464611665	0.93884076844	0.377564864812	153.950896189	21
17.3455923507	11.4575057284	1.00823788511	0.462246052457	159.359616787	19
17.3524374254	11.4698398768	0.997977737338	0.343592914758	153.541004235	21
17.3537260096	11.4807100996	0.962511299016	0.402909991253	158.817322995	20
17.3615681433	11.456797527	1.0273326014	0.310170204889	159.026520026	21
17.3443164782	11.4708690436	0.977098965503	0.392471660832	156.103565856	20
17.3415365624	11.4508969619	0.936382093492	0.357740089246	149.150308029	21
17.3450751841	11.4719329666	1.01491581974	0.320227180822	152.211512416	21
17.3480827906	11.4612904877	0.947752604904	0.408262549863	166.322526903	19
17.3468241293	11.4415948952	0.946260013711	0.35412149742	152.075300106	21
17.3333371793	11.4493214501	0.95287692963	0.347165439075	147.865163704	21
17.3438960326	11.4539986519	1.00110255729	0.394509068264	165.699243067	19
17.3229678932	11.4436847794	1.04237320714	0.425761003617	154.015583735	19
17.3153817688	11.4435742335	0.950027629186	0.322841822362	143.738614891	21
17.3019521191	11.4236376713	0.857275210294	0.406196263557	147.727954674	19
17.3282276418	11.450830006	0.949746419055	0.399716303748	159.722354558	19
17.3301994053	11.4387818299	1.00224660551	0.258689019926	153.152829293	21
17.3142364649	11.4411898234	0.88862762694	0.423375058014	151.041714729	19
17.3156862918	11.4320670049	0.951452621067	0.277975093441	147.676018775	21
17.2962290701	11.4375019993	0.902699439226	0.325263717798	136.613300792	21
17.3004714507	11.4368500119	0.917187208584	0.296815020889	140.615804877	21
17.2774951592	11.4385014838	0.842263134476	0.352120442944	144.31417729	19
17.2840441384	11.4412207816	0.806954960641	0.364585171574	144.874603277	19
17.2856955567	11.4375536758	0.893368215338	0.346899017618	148.033583963	19
17.2997303468	11.428329953	0.99390418396	0.28878213655	141.866405854	21
17.2976547411	11.4367492585	0.859067107362	0.282926602795	140.487549023	21
17.2884408051	11.4188052384	0.905807510838	0.265720693407	140.106389739	21
17.3027466905	11.4350049847	0.861347661789	0.287831098057	141.702585854	21
17.2845205164	11.4240841055	0.920754723582	0.245309318008	140.247946289	21
17.2935775836	11.4347012729	0.929934099617	0.424410874636	142.748777902	19
17.2921853232	11.4370385853	0.901753470919	0.275350889517	139.765643018	21
17.2850397367	11.4148816418	0.892214382246	0.222318468434	142.253696409	21
17.2917544345	11.4528436124	0.931824971266	0.225677675599	141.192178983	21
17.281573317	11.4190098156	0.887651935013	0.270197366123	136.754478874	21
17.2741179329	11.423333541	0.962426842629	0.359735079237	142.455497135	19
17.2749513061	11.4195832975	0.849792792395	0.268125162884	134.797280682	21
17.2679905911	11.4382165237	0.877470817011	0.253052200432	133.0408563	21
17.2791511931	11.438744561	0.827281825826	0.311065990365	131.758090355	21
17.2951720029	11.442584907	0.795161077381	0.312467610063	136.568185516	21
17.2828254886	11.4397410415	0.861061294218	0.241938883199	138.474857659	21
17.2745215669	11.4441976686	0.752158207998	0.288399281817	130.848597863	21
17.2820947508	11.4566448749	0.844977199722	0.37343024506	143.176797996	19
17.2623045798	11.4471057635	0.69062718266	0.218965225289	131.220192839	21
17.2657330218	11.451612352	0.659417614879	0.2174109817	131.79891404	21
17.2533238272	11.4539243221	0.750972037217	0.164706736584	147.920119519	19
17.2516428601	11.4445412617	0.714499275704	0.169129511296	139.474571196	20
17.2562148479	11.4460684718	0.681878442367	0.259373257661	125.752472607	21
17.2555149252	11.4293985249	0.66456091823	0.276761153102	124.675815007	21
17.2579761651	11.4290570743	0.593132397084	0.299456246887	122.673201383	21
17.2515375358	11.4315337481	0.550443006231	0.338013385419	131.447790624	19
17.2694217412	11.424591079	0.622340900937	0.392868133601	144.19152734	18
17.2513177825	11.4295518135	0.562234831504	0.315728203696	134.397440389	19
17.2637062237	11.4215983158	0.587370965565	0.18235556049	133.491232057	21
17.2733409316	11.4324638926	0.640357433209	0.235513074283	133.480656251	21
17.2619997455	11.4179777098	0.654874825599	0.29245343358	125.901747522	21
17.2532550668	11.4261494842	0.550204865534	0.253911746067	124.047534394	21
17.2653057424	11.42985458	0.483252952527	0.32505109844	137.187813716	19
17.2497191069	11.4297020826	0.562016238029	0.325398400622	132.564389834	19
17.2571518769	11.436764853	0.53135696935	0.274402537292	122.980190114	21
17.230981579	11.4260616919	0.508334509145	0.217832743466	118.620369845	21
17.2417743084	11.4142184018	0.535013642776	0.267739082976	119.13795847	21
17.2363242601	11.3938644367	0.486870469452	0.247801811687	118.312409938	21
17.2300145666	11.3831522992	0.549996350878	0.134935930869	134.398253329	20
17.2509091716	11.3886869872	0.446580309882	0.1879775112	126.778429472	21
17.2289864625	11.393336119	0.494764785365	0.259420188761	115.531682187	21
17.2273738539	11.3885173846	0.466789555978	0.155997848979	122.20821517	21
17.2115587578	11.3974625358	0.475905327851	0.250073217247	110.029971497	21
17.2172861429	11.3883686381	0.47100095399	0.327018693335	127.375360657	18
17.2285943818	11.3866847908	0.443902654838	0.158633615715	122.018432886	21
17.208503593	11.3981984957	0.470093776657	0.258714816164	115.086970177	20
17.2047982613	11.3790175593	0.580532717444	0.187264281176	115.797269057	21
17.2261692299	11.4054042668	0.526024710578	0.316149885176	123.997917225	19
17.2442242441	11.4054020777	0.44849604116	0.212974096214	122.291579979	21
17.1960809538	11.3906239936	0.506772051991	0.287634083245	115.586773101	19
17.19695142	11.3823479383	0.412504710107	0.223178143101	106.21433516	21
17.1855601655	11.3793699876	0.370862865039	0.267498821236	110.267362586	19
17.1897982459	11.3904469972	0.430290558014	0.289982706143	111.336482555	19
17.1810278879	11.3869668565	0.394213614847	0.158767537816	105.828853366	21
17.1896085691	11.3809838764	0.32474809097	0.0975504140258	110.525836501	21
17.1657589991	11.3894610272	0.414410207736	0.116324892069	105.284436953	21
17.1795429951	11.4195821867	0.499756825213	0.0719472723236	126.870317321	19
17.1652938053	11.3768930056	0.416754331393	0.0538176104663	123.366633558	19
17.1625026677	11.3875210723	0.49529063831	0.155078908603	103.683324378	21
17.1595003947	11.3842722567	0.507578315693	0.115713519324	105.808556259	21
17.1724936127	11.3770680119	0.487462146601	0.0907393996418	118.385999454	20
17.1576067138	11.3926503495	0.490132096395	0.123851583802	104.318225904	21
17.1537971953	11.3914090421	0.534400032312	0.0666167571055	121.646663601	19
17.1504490956	11.4063322548	0.485384307008	0.138808790159	100.224018327	21
17.141150326	11.4194388677	0.466277731705	0.308885956161	101.54390393	18
17.1514187307	11.4025983899	0.439409187757	0.0840898997121	103.348274625	21
17.1579489393	11.387810789	0.474722217934	0.232676041941	107.102601619	19
