# L_0 	 M_0 	 beta 	 gamma 	 chi_sqr 	 Number of Bins
17.6500000001	11.3100000001	0.8600000001	0.5300000001	266.809853353	20
17.6497368604	11.3075654162	0.948695461667	0.385506572783	277.417966511	20
17.6568030044	11.331269373	0.894705764135	0.548932231074	268.618462002	20
17.6553346351	11.3218991092	0.793245862234	0.523930755522	269.902901173	20
17.6350755411	11.3056255634	0.860592849585	0.513148962372	262.016747199	20
17.6204629443	11.2968792754	0.864003394002	0.463767269168	259.941621035	20
17.6204281193	11.2961122137	0.863388766062	0.505060176253	255.557025539	20
17.6435381333	11.2872503898	0.872991055201	0.496100530225	267.424623115	20
17.6293634931	11.2979987489	0.844502218415	0.478468542619	262.250178622	20
17.6315869924	11.2991072779	0.984166955334	0.521788874462	259.151965643	20
17.607701964	11.2900983741	0.825376580684	0.528654187745	281.331203893	18
17.6358397355	11.3210978748	0.850342786842	0.551988486491	295.096482428	18
17.6154994867	11.3083381571	0.817796872521	0.471781443413	257.009614476	20
17.6140239831	11.2926811076	0.810236356374	0.510380384211	251.764068298	20
17.6268154164	11.3051852607	0.848645182795	0.553031966526	288.322058876	18
17.6050112982	11.2953041294	0.86387627428	0.565445268539	275.215100385	18
17.6276067184	11.291279645	0.80589266986	0.623864727881	278.24831681	18
17.6202805854	11.2734780813	0.717317470598	0.505846522726	254.479738148	20
17.6166107228	11.2903268274	0.794613958442	0.575539815665	278.890224081	18
17.6185374226	11.2963010359	0.853329365946	0.443054781997	261.59049343	20
17.6213752497	11.3099912865	0.909579972305	0.510634898778	256.416413367	20
17.6110629642	11.2977637096	0.835249772007	0.587188784504	275.492897426	18
17.6215493252	11.3010091605	0.801464380668	0.538611584594	287.549644207	18
17.6189174687	11.2802217911	0.889850467919	0.377373619403	267.156351612	20
17.6254366941	11.2910440085	0.850897123492	0.48608926518	260.046375102	20
17.5986359278	11.3013833472	0.790465263849	0.444498523801	252.061287027	20
17.6040057019	11.3138881814	0.747039100157	0.480547690878	250.471024726	20
17.605830891	11.319973263	0.698965035884	0.510345856094	248.177121653	20
17.604352709	11.3159853732	0.721757380122	0.583103411171	273.344300836	18
17.6095230025	11.3221271967	0.636844250797	0.522926340807	247.939191153	20
17.6016940294	11.3109211401	0.652522330922	0.480238406377	248.944327162	20
17.5880198557	11.3053840712	0.697232446297	0.458806704773	245.339354667	20
17.569034735	11.2960872776	0.754662178848	0.471504814457	235.610846977	20
17.5571906521	11.3199777474	0.777789188707	0.522994649763	256.389411099	18
17.5969490101	11.3166390158	0.737100915363	0.453363636585	250.247289667	20
17.5656796501	11.296915319	0.767954433079	0.413805600846	240.249247192	20
17.542610199	11.2825873166	0.711971881685	0.471668165254	237.259843655	19
17.5220921258	11.2930401333	0.669374466712	0.452257308863	215.022778666	20
17.5418891907	11.2786755256	0.732936180355	0.434779640449	227.179052121	20
17.5384489466	11.3067506058	0.651534258033	0.502994855323	246.906238019	18
17.5168739857	11.2914711026	0.652822651287	0.441721074145	213.495061549	20
17.515975809	11.3217491617	0.578814608971	0.466693327377	239.739937684	18
17.5158379781	11.2963921268	0.546141557233	0.419810490049	214.358105473	20
17.5348505654	11.2877627254	0.6563624699	0.440990331516	221.643436937	20
17.5124810646	11.2862776457	0.59153039576	0.383877605711	217.2342725	20
17.5242966176	11.2968995252	0.641471249904	0.380800887039	223.526052766	20
17.5184243168	11.2896457728	0.667426695671	0.493533913261	237.269974714	18
17.515424041	11.290223711	0.632522826645	0.440826524672	212.427922246	20
17.5126283931	11.291026364	0.696154310275	0.436184208818	213.064507067	20
17.5122934006	11.2761222943	0.694666337091	0.490061821902	234.867973174	18
17.5059523653	11.2866662843	0.591351145881	0.362215204901	217.025866598	20
17.514811943	11.2809596691	0.619715272018	0.420069079064	214.057533662	20
17.5133537138	11.2830920546	0.650045577765	0.440584864907	211.900542045	20
17.5185784792	11.2679039595	0.635968953423	0.367225138531	222.302768707	20
17.5209597895	11.294962145	0.61781488146	0.44062760369	215.326843711	20
17.5108313363	11.2807241654	0.674265916769	0.418438523016	214.05274022	20
17.5277477383	11.2841050781	0.643013465186	0.403691737701	223.253456708	20
17.5263346626	11.2968005964	0.664665441208	0.513367416777	239.214474855	18
17.5240569907	11.270673559	0.689324289533	0.342943333233	228.745179214	20
17.5269272706	11.2892480043	0.605129987972	0.463072622473	244.417147455	18
17.5206135468	11.279042635	0.694932316993	0.425781715384	217.691176506	20
17.5064957487	11.2778982638	0.629555350548	0.496456077315	229.047249456	18
17.5018149971	11.2886882414	0.586742963949	0.498247228242	227.060425937	18
17.495688378	11.276248064	0.559221270885	0.47749171239	225.569081826	18
17.5162013808	11.2743680653	0.621745302779	0.415302649614	215.721292792	20
17.5085582408	11.2862380519	0.591304896227	0.453811199798	236.933891454	18
17.5067913298	11.2873754851	0.592426986845	0.513160277599	226.606671671	18
17.5103541518	11.2713587447	0.645805165595	0.403942991712	214.948370572	20
17.5109862716	11.2843925388	0.535166570567	0.466037946051	233.896611638	18
17.5279693574	11.3041391979	0.676559900323	0.46126276897	217.174828107	20
17.5211627957	11.2824865487	0.64738645707	0.462424511451	242.177121193	18
17.5311481312	11.2799344287	0.663044235194	0.415134826292	223.77423741	20
17.502212636	11.2866081571	0.633838318507	0.424733198199	208.395012069	20
17.5034227328	11.2722156249	0.551150453289	0.481099688855	228.316356739	18
17.4924317781	11.2746759955	0.627221153371	0.473888836701	225.092892659	18
17.4986855943	11.2953464634	0.737048726613	0.474229545857	231.494856698	18
17.5054327143	11.2906016144	0.679951081027	0.437126382967	209.450570871	20
17.5149288873	11.2744889989	0.688200077684	0.394656531778	218.602552583	20
17.5040127255	11.2988302147	0.668808487557	0.435505544758	209.375048806	20
17.5008805103	11.2899057074	0.631731124793	0.493217524998	227.839814548	18
17.5101747004	11.2784632277	0.6283464716	0.450903989849	237.849890292	18
17.5067358906	11.297046147	0.778016629671	0.409215473874	215.708730416	20
17.5017844388	11.3073334957	0.677656700458	0.432931571438	208.444050314	20
17.4973377741	11.3031454224	0.688193043949	0.469857482519	230.662636698	18
17.4888062215	11.3122552764	0.648848001093	0.419952842882	204.391129964	20
17.4993323057	11.3123426662	0.667012409491	0.517144245239	225.248195378	18
17.481442257	11.2898095525	0.651789846963	0.474116587556	221.359771026	18
17.509244552	11.3197233297	0.653663239101	0.537419421564	227.273861648	18
17.5074277849	11.2898645123	0.619404533572	0.370254166854	217.103911356	20
17.4863079833	11.2921561511	0.667404654712	0.434804980957	215.082019546	19
17.4707038252	11.333952296	0.609522739553	0.477829889562	216.826673798	18
17.4807800845	11.3021898873	0.655249624674	0.385387177294	204.806505936	20
17.4833869379	11.310346964	0.67385772457	0.376371991963	207.428970303	20
17.4923199658	11.3077583905	0.669999349544	0.382042399565	210.387856331	20
17.4560141363	11.2991022593	0.561154506845	0.351781961086	195.801068858	20
17.4596454838	11.3047203885	0.498259282853	0.262376971231	204.771179187	20
17.4574854846	11.2985453372	0.579635913088	0.27256869321	204.570302272	20
17.4568988019	11.2901411765	0.643928704735	0.339720756533	199.091486449	20
17.4493589559	11.3035027113	0.552741311845	0.343599266747	193.725016898	20
17.4521969028	11.2976409507	0.50746999321	0.351326369986	192.567573198	20
17.4423686327	11.2900681035	0.572436266453	0.374272125185	187.851271753	20
17.4403605156	11.3110486989	0.552364157967	0.365020434383	187.846046229	20
17.4236108246	11.3136490352	0.54692302043	0.314235497253	185.984212402	20
17.4337623835	11.3161194455	0.472312325236	0.315064527444	188.065057188	20
17.43875181	11.3174590163	0.530757603956	0.32236130434	190.662550999	20
17.426404606	11.3197088363	0.398054593469	0.305079105342	184.147814782	20
17.4291400583	11.3116717678	0.306587280108	0.268269804473	185.702772143	20
17.4213828105	11.3185074856	0.387405609549	0.299735664664	182.234775509	20
17.4389159568	11.323236505	0.32103186604	0.279517505455	189.287439473	20
17.4284893073	11.3149746801	0.452587163429	0.273176088159	189.532879926	20
17.4152501529	11.3294203786	0.351951120495	0.25862570986	182.985647296	20
17.4212694555	11.337096705	0.434457296012	0.267148621807	186.354643884	20
17.4260635945	11.3426747677	0.316481054353	0.324424667075	180.36844305	20
17.4262310509	11.3555025874	0.313553373065	0.285917819831	184.109071189	20
17.4352761739	11.3513083421	0.346022828169	0.380584418198	180.170577447	20
17.4379718725	11.3370937087	0.335683494616	0.408056554798	202.935425631	18
17.4377247624	11.3489440673	0.291298317923	0.354826202796	182.090444913	20
17.4265351266	11.3569958095	0.33962547645	0.37064786938	178.115455611	20
17.4118002089	11.3505157939	0.352440238756	0.321002821818	175.793942005	20
17.4012540185	11.3531739164	0.291726991897	0.257455317978	175.481703302	20
17.3830835335	11.3415619291	0.218193321726	0.263426148945	165.453459813	20
17.3932225824	11.3427659143	0.152755805253	0.203573453659	170.679311941	20
17.3588160477	11.3358310989	0.295386349166	0.2978454325	155.327222421	20
17.3582966561	11.3198064477	0.254267794162	0.352601229909	167.921121835	18
17.3622778688	11.3367226859	0.286919584646	0.283940573258	157.283729675	20
17.3632561575	11.3346603164	0.265577012319	0.340760651415	172.990359933	18
17.3768929118	11.3396460728	0.353349828578	0.362156765449	179.728685951	18
17.3632420749	11.3159235734	0.289379885907	0.28043726358	157.553868338	20
17.3590893563	11.3218356732	0.239542524821	0.283814410209	154.588453814	20
17.3595823261	11.3250047859	0.343046759095	0.288677894458	157.593176075	20
17.3523759774	11.3281521703	0.232380743445	0.316965194968	148.14266774	20
17.3447376668	11.3126484463	0.237441342795	0.315373202561	155.352065748	19
17.3481161569	11.3309095049	0.319302931076	0.288835166521	152.163023071	20
17.3578047692	11.3094474906	0.260091664397	0.273659497437	154.837968589	20
17.3524459976	11.3452547314	0.199147852186	0.270059328802	152.159268652	20
17.3504627675	11.33357403	0.207416478676	0.330226020488	165.644232619	18
17.3668748901	11.3038712774	0.208033018857	0.380106985141	165.40269516	18
17.3580821592	11.3084429887	0.233743628838	0.304431937993	151.250861315	20
17.3537167568	11.3280805974	0.146983370458	0.379609779554	158.674580287	18
17.3547048061	11.3155245863	0.198370727239	0.283408287315	150.784225994	20
17.3536764108	11.3219182208	0.188431224115	0.343866835267	164.200666517	18
17.353052037	11.3327396358	0.303540136262	0.299527159657	152.723279295	20
17.3664157764	11.3357339987	0.282575989653	0.359653863189	172.264730398	18
17.356770679	11.3416511436	0.316316029449	0.309051917966	154.002212011	20
17.3564149406	11.3445994265	0.393566784035	0.373833331402	170.745535627	18
17.3423129515	11.3361884084	0.18764246508	0.368368235559	157.334220232	18
17.372574422	11.3197294372	0.296412166029	0.24059376806	165.265018644	20
17.3399543758	11.3370946227	0.269406278052	0.29504470232	147.366484743	20
17.3345968637	11.3194651991	0.230636820237	0.330021456723	158.999963609	18
17.3478718678	11.3268206455	0.247283822805	0.291917683234	149.799005142	20
17.3506753152	11.3320879869	0.258630062841	0.332527734561	167.6658466	18
17.3400554922	11.3285651557	0.169806870128	0.299999172517	152.357215195	19
17.3496297196	11.3632461125	0.338053124472	0.280422056765	154.672728117	20
