# L_0 	 M_0 	 beta 	 gamma 	 chi_sqr 	 Number of Bins
17.6719	11.25	0.9	0.2	301.660826695	20
17.6693374444	11.2401972124	0.982735674383	0.157948578915	303.805261553	20
17.6617981405	11.2498040967	0.928187614345	0.212584967546	297.550000902	20
17.6624558831	11.2323524561	0.835114059913	0.199543405661	300.485357808	20
17.6733097366	11.2499315118	0.909923005043	0.287316417594	299.901055143	20
17.6741677774	11.2524953979	0.922991383894	0.198675179295	302.732052812	20
17.6708716325	11.2416188104	0.9487988512	0.224183770853	302.75185879	20
17.6661802052	11.2622432278	0.926071343064	0.21901196203	297.881792909	20
17.6785964721	11.2584347276	0.861037009894	0.243560436359	302.239657403	20
17.644594468	11.2612989469	0.956292765671	0.207525398772	291.589875436	20
17.6374003448	11.2886065679	0.924452466089	0.268708574581	284.348703179	20
17.6421806305	11.285542322	0.904757467975	0.246901087624	286.367619505	20
17.634432519	11.2931001372	0.943259693032	0.283237431897	282.489055891	20
17.6430927184	11.2922931022	0.831603838941	0.290891942012	285.218190285	20
17.6406511548	11.2812103073	0.91023234586	0.204705719362	288.070319091	20
17.6225806235	11.2895170183	0.888440347138	0.34690073382	275.715963048	20
17.6024205902	11.2960022815	0.937594588651	0.388152830386	264.474942082	20
17.6098237875	11.2931318049	0.990890518442	0.439166558807	300.760118021	18
17.6092035718	11.3053493427	0.93658065536	0.355487936263	268.471075559	20
17.6002456219	11.2887649756	0.992364730332	0.406908480412	280.337159772	19
17.606038355	11.299385552	1.02924174194	0.392561785349	251.932059694	21
17.5904875461	11.3114352797	0.963560958771	0.403317253866	274.997613076	19
17.621518509	11.3048821753	1.03895003195	0.391539365667	256.796741433	21
17.6121159284	11.2896800594	1.07614607419	0.348534894835	256.429918845	21
17.6038374817	11.3120185995	1.05310626929	0.476723712063	275.294476658	19
17.6060576814	11.3020030636	1.01233128027	0.347887322393	253.001193933	21
17.6032799135	11.2831642137	0.97154936478	0.352708793004	267.946292247	20
17.6051040578	11.3009484624	1.02240980823	0.394333751349	251.426210999	21
17.6125593812	11.3062591939	1.03932584705	0.368240282514	254.467080563	21
17.5949223917	11.2991788711	1.01291474395	0.409061620522	277.787194296	19
17.5950742718	11.2918076446	1.07428826869	0.381715927434	248.822314992	21
17.5977613046	11.2992339514	1.07706716351	0.359264439926	250.346544919	21
17.595286647	11.2882607064	1.07377185019	0.484027780369	270.577921437	19
17.5846248732	11.2949823038	1.08232473625	0.339904496546	247.954815795	21
17.5922010511	11.3007253064	1.10625643313	0.359868822705	248.413637199	21
17.5850885017	11.3039208947	1.01255014696	0.310650833361	248.601319269	21
17.5910445999	11.3125032159	1.02201415529	0.373611387641	246.078642268	21
17.6052625789	11.3282019737	1.04414897979	0.441260751556	278.034154336	19
17.5878910884	11.327739975	0.970548498342	0.406448188486	273.534799812	19
17.5989125741	11.3171291865	0.908863010725	0.408721402463	277.048272626	19
17.5977057872	11.3058362358	0.952096261526	0.419868719702	295.3735683	18
17.5911742543	11.3123668008	1.00186416948	0.318477153631	249.144084176	21
17.6056947763	11.3138528187	1.02763531786	0.306239470257	254.726808999	21
17.5800642304	11.3332543184	0.978050893693	0.383933456866	240.450117007	21
17.5679885607	11.3278956423	0.92732182053	0.40594330018	264.864476508	19
17.5826713973	11.3350120495	0.963999225173	0.499851509229	263.033347078	19
17.5764713374	11.3369532116	0.904591292591	0.385194945459	239.438201767	21
17.5744414947	11.317558417	0.871561523399	0.343802770381	254.860275509	20
17.5696491095	11.3374389923	0.81950661056	0.300707162554	254.314519889	20
17.5665011134	11.340502644	0.986618859209	0.387109260672	250.37832482	20
17.57833524	11.3342025209	1.01106075379	0.346566402601	242.453183085	21
17.5704233789	11.3227514878	0.928709038926	0.441348791403	263.905703725	19
17.5779062932	11.3413694359	0.946638297695	0.426366283554	266.985076405	19
17.5730085656	11.3471345284	0.920081319761	0.420330486472	265.293438737	19
17.5757574821	11.3274090543	0.893104452903	0.304075012047	243.921152114	21
17.5908939138	11.3564208848	0.972035643247	0.309695020184	246.303567772	21
17.5796801989	11.3394985897	0.825087716815	0.461485370322	281.802032209	18
17.5883746088	11.3332806313	0.977051379028	0.414267372413	273.043782018	19
17.5632225877	11.3245312714	0.881641387442	0.281617014478	240.071774975	21
17.5879115617	11.3403832365	0.879739788036	0.397043815179	256.261225984	20
17.5479140184	11.3355509979	0.914195570905	0.446588254447	252.092644504	19
17.5795818473	11.3391405483	0.967667248837	0.371598782524	241.012015148	21
17.5792033437	11.3382741915	0.92100341474	0.318058572903	242.913795114	21
17.5872563274	11.3473759879	0.930568422324	0.39156174518	241.60658331	21
17.5790921016	11.3353060995	0.929670282408	0.423420394691	268.447882934	19
17.5962937182	11.3605115536	0.904592046918	0.339849515567	246.350250827	21
17.5801010013	11.3373109515	0.965662917834	0.451980309315	266.543434882	19
17.5731659384	11.3369696123	0.902637534138	0.391055722363	252.058382421	20
17.5875668149	11.3509071767	0.994147903175	0.431323081549	270.824700433	19
17.5771626047	11.3373874374	0.86672636735	0.352025348161	254.783855415	20
17.5719670605	11.3483397744	0.914204518681	0.362965545906	238.236457873	21
17.5691021921	11.327256646	0.871614650105	0.445464184611	279.196346855	18
17.5844732934	11.3601850528	0.856136611606	0.396947927466	253.749946272	20
17.5780237415	11.3220871609	0.984698821603	0.319271119362	244.12570589	21
17.5596313795	11.3594016392	0.909238647288	0.387802563799	245.814889451	20
17.5649946705	11.3363570471	0.894281918554	0.374041547316	235.200736772	21
17.5560445676	11.3259492705	0.773012702525	0.424614039615	274.36918621	18
17.5714580546	11.3160199568	0.854876755536	0.425893993074	282.671924923	18
17.5665608987	11.3283682227	0.914159350991	0.35212135934	237.51339015	21
17.5544863589	11.3420433928	0.961402193811	0.42518663222	257.021677142	19
17.5516970899	11.3375041942	1.00049246754	0.408905975365	258.653403497	19
17.5671874902	11.3418211029	0.975596954276	0.309814335526	239.219727446	21
17.5699202379	11.3382647973	0.868869982715	0.378323871777	236.935931626	21
17.5766461294	11.3252250086	0.871049928585	0.305514242799	257.393334927	20
17.540928215	11.3520732065	0.924118171451	0.377964512067	255.090851723	19
17.566515817	11.345443198	0.851402771409	0.392743421595	264.815325111	19
17.5626288924	11.3352111274	0.93540501917	0.396088742579	263.423651715	19
17.5687275995	11.3377462174	0.794306830612	0.256893695274	255.768896028	20
17.5668304936	11.3247508341	0.853995700705	0.487221610492	273.391479675	18
17.5728222504	11.3531453161	0.821413226667	0.40494285414	282.388353563	18
17.5846149846	11.348674738	0.91389234145	0.422094987912	269.876132994	19
17.5595508489	11.3431900003	0.863005952451	0.423354224435	259.188499424	19
17.5596737446	11.3257669485	0.869432796926	0.383000674602	262.83512063	19
17.5667432553	11.3271153908	0.94330481235	0.282216406463	241.447402115	21
