# L_0 	 M_0 	 beta 	 gamma 	 chi_sqr 	 Number of Bins
17.6719	11.25	0.9	0.2	298.960425718	20
17.6834139883	11.2701120117	0.90653119428	0.262932059216	299.609988043	20
17.685179744	11.275091025	0.945688630655	0.274955806249	300.141036497	20
17.6914211824	11.2700026661	0.990177308434	0.362949142247	299.681031064	20
17.69103062	11.2613995369	0.965657054117	0.43472436663	295.944071523	20
17.6922407382	11.2755731141	0.882399145921	0.486519604142	291.401134811	20
17.697376206	11.2778028546	0.899860299072	0.488412444274	293.412303283	20
17.6834405247	11.2687639055	0.84610775381	0.48191369854	288.351429077	20
17.6878002571	11.282172202	0.86187847449	0.46862575253	291.34793965	20
17.6843635084	11.266387422	0.83636007973	0.415613058362	293.558109671	20
17.6730519628	11.2686012343	0.833901617061	0.507546290106	320.934448104	18
17.688786995	11.2885240693	0.843192708028	0.546046968427	324.395860503	18
17.6905938677	11.2681948233	0.879202438769	0.614784248286	315.181900932	18
17.6727274843	11.2756037804	0.889873583378	0.575451659169	311.511139253	18
17.6866975802	11.274363336	0.962029833099	0.408118168825	293.77122751	20
17.6840997253	11.2597628997	0.861102115582	0.419246785212	293.698994413	20
17.6627718835	11.2663463727	0.822127839708	0.525282869184	312.219844692	18
17.6836618474	11.2683097691	0.821497249697	0.464642440695	289.512248452	20
17.6711344008	11.2715451894	0.768930668021	0.558737000658	311.798863529	18
17.686368447	11.2761142558	0.839528364633	0.345121333633	297.294023825	20
17.685688342	11.2725403521	0.833156377245	0.463855407564	290.28936128	20
17.6815398444	11.2689703774	0.873630137838	0.416357470376	292.320874381	20
17.6816105156	11.2665346063	0.846865491878	0.446221728143	290.557374939	20
17.6722834456	11.2652865638	0.789473452293	0.415672805484	287.8313947	20
17.6786241895	11.2598661593	0.783085600391	0.449878792054	288.452885239	20
17.6822476622	11.2549547572	0.767927665985	0.376733094824	294.870423064	20
17.6598195565	11.2628557725	0.77518587985	0.446267693891	280.44183934	20
17.6536385692	11.2604174356	0.746120396058	0.556288404837	302.456647195	18
