# L_0 	 M_0 	 beta 	 gamma 	 chi_sqr 	 Number of Bins
17.6500000001	11.3100000001	0.8600000001	0.5300000001	308.107607006	18
17.648503891	11.3116033803	0.845421965293	0.560528006019	303.096219908	18
17.6496751813	11.3117891022	0.832913969841	0.508690899793	271.997095531	20
17.6342883586	11.333191603	0.835495304393	0.479227174201	267.616544251	20
17.6144771619	11.3526797118	0.777427705792	0.557836278605	286.833863765	18
17.6475643636	11.3306092117	0.89082307405	0.453865437192	274.23580124	20
17.6313347418	11.3305892681	0.787879978063	0.441436155242	269.514869558	20
17.6353901497	11.3373965366	0.816874822166	0.460327544285	269.904403383	20
17.605103463	11.3433031195	0.855142694687	0.395155336436	260.607777662	20
17.6013734489	11.3422952815	0.841524768658	0.47730965392	254.215946171	20
17.5966430936	11.3387055533	0.814715819754	0.481110372199	268.003368307	19
17.5985389262	11.3261289932	0.788394540293	0.55138341953	278.980110145	18
17.609375394	11.3406190828	0.864731609223	0.541957182772	286.408454703	18
17.5868856429	11.3478935442	0.914448362519	0.502891668262	261.961030339	19
17.6019855804	11.3409711213	0.814930010062	0.520447027652	284.469176289	18
17.5942420166	11.3308443653	0.827537933732	0.397712620569	257.008154475	20
17.58875774	11.3449187571	0.817426018539	0.495513948565	280.196744963	18
17.5987836291	11.336577525	0.822515986235	0.399497394779	257.770826199	20
17.5925834207	11.3353893573	0.867084984246	0.484699381714	284.7985079	18
17.5995886119	11.3226860085	0.816429673798	0.587730887291	274.795417938	18
17.5940422681	11.3407100667	0.813611024595	0.492768459478	283.82898488	18
17.6068077657	11.3473669573	0.826429160327	0.448773396699	258.655215767	20
17.5899351446	11.3415497566	0.723713218259	0.508802309516	279.352471514	18
17.6159552533	11.335855238	0.803462292828	0.387579822678	265.801253911	20
17.5829267765	11.3277772822	0.926142522426	0.430856944375	237.070569077	21
17.5715553351	11.3327832825	0.895740070116	0.404478952677	234.308267824	21
17.5776956974	11.3198043209	0.935902872156	0.377254455136	238.889651921	21
17.576212973	11.3307929805	0.825373192461	0.452724508101	245.206132853	20
17.5603176199	11.3284081284	0.872879867166	0.429716497823	228.337864513	21
17.5484087461	11.3202494228	0.859350240219	0.464837513763	248.396966614	19
17.5655905577	11.324924407	0.859051109766	0.551243430826	262.300620138	18
17.575045053	11.3239439173	0.927089605084	0.458077846201	231.89060862	21
17.5591997755	11.3367178345	0.977648412627	0.479820878745	252.021240366	19
17.5739642963	11.3356612646	0.91971980123	0.454619093199	231.965846195	21
17.5456603816	11.3435900747	0.877150964001	0.432880169422	221.66122653	21
17.5512187511	11.3564558148	0.881173257275	0.436523254446	223.459980636	21
17.5541106964	11.3537508569	0.806722701316	0.397882906802	240.074428691	20
17.5430104707	11.3469646959	0.891875465404	0.35700455083	225.894786496	21
17.5445372062	11.335705847	0.874706521134	0.426769436551	222.164477287	21
17.5395731846	11.332062936	0.903610718762	0.357676505872	225.430830315	21
17.5554071904	11.323889255	0.881680832727	0.44751611353	238.590236265	20
17.5384662887	11.3307406082	0.900064950147	0.408643766076	221.600331915	21
17.5565925104	11.3144932558	0.910542236055	0.377052547979	231.344760552	21
17.5368962812	11.3388207887	0.941741392174	0.39725613887	221.762913322	21
17.5387300074	11.3373430897	1.09762478195	0.43663874358	219.925372382	21
17.548774027	11.3333565625	1.10204360797	0.535026120693	242.232510357	19
17.546237495	11.3450730906	1.04302456957	0.375281027931	226.887727988	21
17.5482522441	11.3502626664	1.12701400841	0.497808353108	244.78245295	19
17.5413345472	11.3456429013	1.14894111861	0.439040532462	219.969639002	21
17.5343788571	11.3514381416	1.21181586396	0.421075220928	218.273511782	21
17.5381311844	11.3609836492	1.25597376092	0.384225911207	222.439058247	21
17.5405979444	11.3683938787	1.20016190533	0.435758414094	218.858061094	21
17.5542081462	11.3417930599	1.2002006687	0.489329890574	248.935455656	19
17.5474854035	11.3468698584	1.25165420661	0.383808005149	226.534305747	21
17.5427410881	11.3361318248	1.22599767503	0.351141725285	227.33955661	21
17.5397694722	11.3631411594	1.18482177105	0.41632529744	220.259546632	21
17.5533545476	11.3618956479	1.24053893128	0.439118511093	223.708418021	21
17.5355796308	11.3476335495	1.29036517972	0.429513715728	218.149826723	21
17.524556987	11.355534492	1.30820641865	0.401199037906	215.685739964	21
17.5270028465	11.3534862572	1.32470649624	0.449704608814	240.639404508	19
17.5190784661	11.3595309282	1.32792474397	0.410111498781	213.10918817	21
17.522294644	11.3684438505	1.34628371994	0.457974975532	236.501110859	19
17.4915149194	11.3655705309	1.34137244759	0.49666078515	220.338044922	19
17.513062959	11.3586803035	1.36567846849	0.567795974982	235.978610284	18
17.5170966888	11.3592933823	1.29347783189	0.430841951841	210.637522315	21
17.5232728524	11.344119281	1.34186965884	0.450955875646	239.444415312	19
17.5072896278	11.3755171369	1.40973166618	0.471975917587	227.695408486	19
17.519414965	11.3390328529	1.28112778118	0.424740701057	213.550332076	21
17.507785813	11.3487052145	1.20892903549	0.380077334915	211.948137871	21
17.5136812686	11.3610710028	1.32355885247	0.484099875639	231.389967919	19
17.5140870081	11.3682853975	1.25459600959	0.507327773892	228.697721291	19
17.507354484	11.3674345051	1.34144404014	0.387494505027	210.09301879	21
