# L_0 	 M_0 	 beta 	 gamma 	 chi_sqr 	 Number of Bins
17.6500000001	11.3100000001	0.8600000001	0.5300000001	274.390734414	20
17.6436127197	11.3008387866	0.865027677067	0.432958849335	279.011456399	20
17.6631653117	11.3063939114	0.885071148178	0.542968670348	279.773269069	20
17.6620180941	11.3157282703	0.830602364893	0.543343939271	279.530589442	20
17.6567782952	11.3209083329	0.886585430081	0.519903389145	277.83958302	20
17.6478127029	11.3262552095	0.905676675338	0.489145462625	276.081111333	20
17.6471405002	11.3325128836	0.826313785867	0.523736689561	273.852891415	20
17.6394340592	11.3224446457	0.897412914227	0.466665271089	274.476607434	20
17.6492199695	11.3156504307	0.937496583506	0.448278585872	280.626968758	20
17.6487142977	11.316160074	0.929311655771	0.507613818575	275.373377554	20
17.6419748878	11.3347242148	0.916922218032	0.363088530459	280.848654288	20
17.6291796466	11.3377208612	0.914597313306	0.443403834334	271.001037062	20
17.6313295722	11.341493496	0.937947754604	0.415815960265	272.795339098	20
17.6352189315	11.3495487336	0.914747205175	0.457760617656	271.894318645	20
17.6384794966	11.3561295887	0.899269827069	0.393637974795	276.391999619	20
17.6505159795	11.345367141	0.877556943496	0.396354248281	282.347629552	20
17.6568168211	11.3688762451	0.913471018891	0.423927095974	281.336489495	20
17.6343688844	11.3319333636	0.880641009938	0.491143000703	270.008121598	20
17.6408628359	11.3378459347	0.947591538964	0.435692187431	276.126341689	20
17.6443793638	11.3276747087	0.912355689362	0.486461143698	274.771806587	20
17.6386044763	11.3252927705	0.797174698508	0.523891270909	269.610811836	20
17.6218820853	11.333047386	0.762374325177	0.423135468107	269.720565007	20
17.6413124243	11.3332592769	0.745388000506	0.422339168858	277.395416292	20
17.6310567322	11.3297850069	0.636230771715	0.399597022689	274.715232173	20
17.62328389	11.3440926503	0.760979005383	0.406658238074	270.403696587	20
17.6326267201	11.3443604945	0.774884216167	0.368763104396	276.65556665	20
