# L_0 	 M_0 	 beta 	 gamma 	 chi_sqr 	 Number of Bins
17.6719	11.25	0.9	0.2	297.380857472	20
17.6804065247	11.2476439136	0.88225085445	0.339807497771	296.071279413	20
17.6965549606	11.2363492785	0.88597854211	0.330886752935	303.251576412	20
17.6739287157	11.2581400109	0.968389034426	0.35752206134	292.514173009	20
17.6845583363	11.2585776491	1.00195674591	0.305219750241	298.830353565	20
17.6713375199	11.2657116234	0.994242554924	0.503600667088	320.054587063	18
17.6798844866	11.2601954239	0.890796324949	0.408686999752	291.250479057	20
17.67542333	11.2621749552	0.944685955202	0.321981876639	294.42837455	20
17.7001439754	11.2623995877	0.867018086947	0.326798295052	303.799025615	20
17.6726741931	11.2668408666	0.917169970964	0.354531741282	291.522720973	20
17.6941494993	11.2632960185	0.967111090536	0.288819182484	302.03956511	20
17.6682238029	11.2528413321	0.92023547062	0.355189554118	290.799978164	20
17.6611088658	11.2660695676	0.927947833064	0.356165808156	286.471714537	20
17.66578668	11.2554317369	0.953718451479	0.375580533437	288.208873193	20
17.6618198707	11.2679743951	0.903092024402	0.376459714137	286.435371798	20
17.6679851095	11.2719383322	0.918752174313	0.467074666674	281.931039066	20
17.6675722399	11.2640572151	0.808831771823	0.465630144734	300.307524775	19
17.6637037235	11.2733660382	0.92461385129	0.513041954978	313.821792189	18
17.6627549004	11.2636901083	0.956793140236	0.486757534714	316.446304151	18
17.6719559842	11.2708773794	0.877296552197	0.477913303549	320.998301387	18
17.653669382	11.2738046511	0.888724481117	0.443277212501	276.988683481	20
17.6618834582	11.278987837	0.910470934157	0.386706916785	284.685640285	20
17.673001793	11.2708125712	0.898597541535	0.411332158597	288.550981264	20
17.6678623289	11.265812197	0.870755222398	0.442695916176	283.615536717	20
17.6411821458	11.2596644691	0.911459094291	0.362043405067	279.260942882	20
17.6692955086	11.2752797904	0.919851105111	0.520436249043	316.722878555	18
17.6468382136	11.2834527294	0.933608249908	0.39567873036	278.050092556	20
17.6548844153	11.2889803404	0.927671405166	0.418738513645	278.913268161	20
17.665443191	11.2683830763	0.893477201855	0.458352931919	281.844865298	20
17.6512895916	11.2788281216	0.874578794948	0.460049256897	293.38239446	19
17.6349095736	11.2690975057	0.905093199454	0.440249612127	269.884424362	20
17.6325438985	11.2607752364	0.853808872034	0.484126424966	301.377362619	18
17.6233985057	11.2799070156	0.812368241823	0.487901531812	297.026993858	18
17.6264595651	11.2717161981	0.889611172465	0.457486644338	302.582548037	18
17.6484292856	11.2756217181	0.808264995201	0.432939185381	275.446507246	20
17.637879734	11.2640315925	0.857368266819	0.374403952365	276.975256739	20
17.6365093025	11.2742860559	0.935892099398	0.508016828674	301.322697547	18
17.6350622596	11.2899446789	0.836013768069	0.43191451472	269.672192723	20
17.6432596518	11.2948266625	0.838091289751	0.438322105737	273.31549815	20
17.6407102909	11.2799056572	0.903107974725	0.429315471406	272.669677281	20
17.6400402305	11.2962738727	0.841737271583	0.372406553005	275.834914953	20
17.6283700902	11.2946422199	0.861744351672	0.443620582835	266.744026548	20
17.6247998098	11.2886691219	0.830732582115	0.370984468709	270.966330064	20
17.6294414127	11.2830269438	0.806325861829	0.582500812688	307.920546586	17
17.6461096239	11.3115295176	0.835434347083	0.516888751168	305.344986047	18
17.6491937869	11.3002221757	0.867462957385	0.485363596744	309.95970882	18
17.6259432832	11.3018686168	0.949526865623	0.421277991639	266.402364425	20
17.619782431	11.308401662	0.994098884738	0.405990752744	264.803273263	20
17.6233459034	11.2902599213	1.02476397535	0.543668371419	290.352721197	18
17.6047716327	11.3148273979	1.02140418959	0.477045001253	270.261970525	19
17.6335376316	11.3062043875	1.09631416738	0.41694245276	255.65247757	21
17.6407925552	11.3115796606	1.02134449914	0.351264618711	275.765958237	20
