# L_0 	 M_0 	 beta 	 gamma 	 chi_sqr 	 Number of Bins
17.6500000001	11.3100000001	0.8600000001	0.5300000001	307.775959757	18
17.6362067716	11.295479179	0.920085214884	0.545792230226	298.611617734	18
17.6249068641	11.3046382211	0.920555160307	0.570720367618	311.015435652	17
17.6422766448	11.2821768774	0.940282190476	0.538225406759	303.043138399	18
17.6437547975	11.3083391706	0.936559492553	0.558802223628	301.058163471	18
17.6476819903	11.2929414827	1.02487847831	0.454184066759	276.247390952	20
17.6527777294	11.2901661739	0.996134472093	0.519704587651	310.185227706	18
17.6378209582	11.2975628292	1.10804381877	0.4430691667	257.81720222	21
17.6474575862	11.2819140909	1.13006917632	0.358803095372	267.431905342	21
17.648008578	11.3015264203	1.22628861196	0.547458483857	285.480749827	19
17.6284905871	11.2857574381	1.15603039343	0.36481929605	260.473371039	21
17.6220544104	11.2958883641	1.14183080767	0.41328663795	254.602982803	21
17.6223177199	11.3048741524	1.13549663586	0.445359044569	266.916817274	20
17.6113806491	11.2861121155	1.17182106288	0.379441422226	253.271915726	21
17.6021752394	11.2829786406	1.15894702172	0.477610355427	273.177582941	19
17.6121825107	11.2919301194	1.16123982283	0.305125317629	256.475800032	21
17.6065794337	11.2956610032	1.19147234376	0.365345746647	252.144474512	21
17.60823135	11.2940631857	1.18377287222	0.335179400849	254.196226011	21
17.6225138035	11.3009588292	1.19053944417	0.430011134624	252.485897981	21
17.6190312738	11.3039988951	1.20186587407	0.462727854249	281.382172281	19
17.63097978	11.2953539334	1.15731203872	0.41947807807	257.50196761	21
17.612535395	11.2801243761	1.23571017742	0.372374831758	255.020996006	21
17.6269396646	11.3098655371	1.23453695514	0.479724227147	282.673899263	19
17.6257239242	11.3014136252	1.15681743198	0.387644359174	257.408217423	21
17.6099885442	11.3026450715	1.1935750755	0.420145853924	248.772238536	21
17.612054975	11.3068690235	1.17598841034	0.421134304784	249.404671219	21
17.6160146225	11.3030961426	1.24505699947	0.45750978772	279.818090242	19
17.6028636565	11.3187747428	1.24407894493	0.387791520414	246.994211096	21
17.6100985189	11.3208790864	1.26397159992	0.462695943962	275.500387553	19
17.6026877862	11.3118409467	1.20157960399	0.424934965574	244.729057175	21
17.5954932889	11.3111096134	1.18703559674	0.455726812343	270.664529608	19
17.6039681909	11.3207331552	1.21952305709	0.435353576947	259.584035011	20
17.6215782754	11.3249128754	1.24727388586	0.486907179927	278.662983108	19
17.5921761001	11.3115585546	1.23988889747	0.520819199371	263.614010449	19
17.6049820816	11.3108403516	1.09535355558	0.422815640573	246.77844379	21
17.579063522	11.3145721538	1.2201984337	0.378824390869	239.714996863	21
17.5785066965	11.3225799646	1.24893266399	0.396947858382	237.552669865	21
17.5693535382	11.3243073903	1.24891474382	0.344426280946	237.235340556	21
17.5634510541	11.3221436601	1.25924009046	0.280912604957	238.951026182	21
17.575124313	11.3434512201	1.23808046059	0.311588815102	239.017763372	21
17.5562497891	11.3216102312	1.25830772075	0.336296025836	233.240967627	21
17.5640904556	11.3211150569	1.27605130358	0.409227318852	261.177674785	19
17.5586786069	11.337838447	1.22389947397	0.393271779422	230.034811581	21
17.5504202622	11.3358469962	1.19123831048	0.432033562996	252.717322922	19
17.5588381922	11.337621599	1.23683740544	0.325665303701	233.564988867	21
17.5618506897	11.3583282365	1.19659108152	0.338789076635	232.64030069	21
17.5509285407	11.3526290355	1.15155385816	0.395119627415	226.267561296	21
17.5588180844	11.3670823275	1.19239480863	0.35353932672	229.782641504	21
17.5354004472	11.3312527395	1.13347429314	0.382452409961	236.846725151	20
17.5505651065	11.3628311548	1.21406089197	0.375695971704	226.079993985	21
17.5429739145	11.3686630635	1.21393654448	0.494735265491	243.12943526	19
17.5394316745	11.3603266602	1.16322164603	0.352699499773	223.862907211	21
17.5582815593	11.3665017288	1.10429786445	0.274786568403	232.623396012	21
17.5358634476	11.366727476	1.02345183684	0.254102568338	227.133562966	21
17.554248562	11.3500921307	1.15250366197	0.419007837932	254.919942565	19
17.5455558373	11.3493457747	1.20034733015	0.359680874067	226.856687956	21
17.5314600072	11.3640173523	1.12347623301	0.375701188205	219.934053494	21
17.5244388589	11.3727527697	1.15728413043	0.430720150142	240.252702779	19
17.5332781903	11.3714413151	1.12847438378	0.422102772217	245.056038897	19
17.5053042069	11.3740117899	1.11338198785	0.375644203308	236.94456239	19
17.5222151704	11.3625632658	1.0785326459	0.444035204074	239.532045639	19
17.5239187047	11.3837851603	1.06868421423	0.399224214788	241.905662593	19
17.5388807106	11.3577602769	1.13883272819	0.413748746572	248.928644481	19
17.5400211774	11.3650040861	1.0988089987	0.343178072672	224.948427595	21
17.5372129306	11.342016725	1.04261248761	0.416518319844	248.832284575	19
17.5329582492	11.3704628301	1.1274586293	0.41955718616	245.14530138	19
17.5324967637	11.3590818404	1.14085306177	0.425186587191	244.638627169	19
17.520790174	11.3661776598	1.11278891529	0.37530140057	215.994211152	21
17.5183445092	11.3705401979	1.07116588219	0.268693763916	220.050155964	21
17.5140735066	11.3600572158	1.09103709871	0.406034523049	238.95948339	19
17.5236574265	11.3799746999	1.08176757614	0.370763355264	216.498379007	21
17.5164468324	11.3765457005	1.13933898627	0.287348187529	218.243230315	21
17.5177886646	11.3887228266	1.13685849121	0.417366763989	237.388988141	19
17.5285630362	11.3936313239	1.01442282493	0.387764242667	216.989077813	21
17.530980508	11.4121096883	1.04328191968	0.440643118307	240.735297681	19
17.5473904311	11.3893188634	1.03608736145	0.368190777776	224.085821005	21
17.5295030727	11.3987530284	1.00188918975	0.384167655263	216.569427197	21
17.5231743552	11.3871264878	1.02229739521	0.459624142129	238.039122413	19
