# L_0 	 M_0 	 beta 	 gamma 	 chi_sqr 	 Number of Bins
17.6500000001	11.3100000001	0.8600000001	0.5300000001	302.502059334	18
17.6436502463	11.297136901	0.829203129263	0.575994546598	316.401695804	17
17.6559479521	11.3192166516	0.786486925811	0.551683879952	303.653713476	18
17.6595309014	11.3096009853	0.841418444759	0.561497185417	304.676262572	18
17.6465661276	11.3195792181	0.924355180416	0.47582111791	305.047144497	18
17.6405177608	11.3134748608	0.87350722137	0.518156652356	299.153983216	18
17.6271719479	11.3165586112	0.784321583778	0.544154024194	289.859821755	18
17.6275435341	11.3185710414	0.865843469471	0.56141397077	288.152128245	18
17.6235728165	11.3172387179	0.861547256911	0.577135283567	305.935016874	17
17.610144577	11.3248146437	0.883219485168	0.463956546541	289.564916149	18
17.6382910569	11.3195049013	0.864007665031	0.544881344417	295.375853171	18
17.6274918004	11.3284092983	0.850211132346	0.602580137365	304.105478386	17
17.6268913296	11.3235118746	0.884555621173	0.562240053088	287.666305681	18
17.6215558593	11.3257959535	0.871903246509	0.550591249277	286.658449399	18
17.6233025266	11.3263779745	0.857797507651	0.510597632644	291.152124204	18
17.6139567315	11.3295715765	0.954546454351	0.434047691831	257.597977875	20
17.5984963195	11.3171083667	0.917490155071	0.421973329355	269.080272932	19
17.6056055117	11.3339568585	0.870004510271	0.521919200257	281.206756677	18
17.6204561445	11.3281624572	0.96502437274	0.405859749957	261.67137001	20
17.6184420263	11.3334681355	0.967057603776	0.445186175433	259.444348033	20
17.6307779511	11.3347551243	0.916130150859	0.447926977831	263.35392253	20
17.5995782915	11.3367193038	0.97190117091	0.453707692172	267.254763794	19
17.5985604844	11.3419455575	0.964748625851	0.386232368114	240.141560749	21
17.5924956721	11.3615602848	0.922584449969	0.388859383285	236.633962859	21
17.6095351704	11.3435288562	0.98994764156	0.362576037157	245.513277665	21
17.5848278341	11.3779631579	0.948314438601	0.361533075625	234.872246308	21
17.5858804781	11.3810897617	0.941392037926	0.413094311834	232.245635858	21
17.5896230066	11.395874643	0.961344239388	0.508439938806	256.668185527	19
17.5902094106	11.393340934	0.847253301637	0.372297245164	234.804332452	21
17.6048408924	11.4010016469	0.797123301284	0.361450789035	254.080495429	20
17.5903386067	11.3979403928	0.770878841059	0.401560120465	246.985613551	20
17.5912302687	11.4019972268	0.837448081993	0.372762742525	234.774495648	21
17.6095668945	11.418327534	0.875170667062	0.396146081607	239.177490294	21
17.5999278977	11.3928195158	0.757843428045	0.390940094569	252.397776494	20
17.5755497464	11.4043269513	0.790860664854	0.38980128145	242.171141596	20
17.5969798779	11.4212725018	0.769916874948	0.34718586929	250.664351035	20
17.5950207947	11.4121256564	0.826299630079	0.397943237893	234.852902984	21
17.6015813277	11.4248246137	0.862905182258	0.399502364145	236.31702324	21
17.5967095375	11.4164579224	0.796295625512	0.369040418895	250.289560855	20
17.5983070772	11.4105091372	0.762987072966	0.354765882294	251.214711043	20
17.6031250071	11.4101782416	0.833464083535	0.420574048366	251.106595338	20
17.5816645931	11.4037212814	0.768745516981	0.489090071774	272.611264018	18
17.5871678663	11.4091537786	0.729006509548	0.451269812026	277.627227674	18
17.6086602712	11.3995629532	0.853103476424	0.437448694454	252.682100819	20
17.6140207056	11.3957496226	0.746019298279	0.358386928333	258.421560543	20
17.6001202091	11.3926795831	0.834397700001	0.358024661686	252.256869124	20
17.5974353882	11.4080287194	0.818809039158	0.417575039046	248.787335436	20
17.5896730338	11.400192134	0.788126755928	0.457882002545	277.261432115	18
17.6053107699	11.3815458666	0.833803834807	0.494023783125	283.441618272	18
17.614213683	11.4028057535	0.825401161765	0.377922042121	256.861225723	20
17.6001050617	11.3952860512	0.843477426286	0.349999335902	239.167701175	21
17.6000510711	11.4114959	0.816476522477	0.420168857006	249.16738785	20
17.5922385107	11.4089786109	0.81407487933	0.332771279026	236.544319477	21
17.6047466484	11.3966049448	0.851702144847	0.469775265391	283.569161821	18
17.5881319345	11.3971839854	0.797473798595	0.389767253744	246.996610804	20
17.5848805855	11.3908212914	0.86492429517	0.455690526511	258.51080348	19
17.5684991067	11.4355391571	0.89658496819	0.34848818601	225.356253546	21
17.5754733455	11.4291810249	0.910663744706	0.423721961244	225.327773811	21
17.5979658471	11.4358661775	0.905299752959	0.398010453248	233.617439628	21
17.5811591845	11.4239613485	0.916671790605	0.421156650383	228.06793408	21
17.581315785	11.4306866528	0.819749398237	0.4834025006	254.37148144	19
17.5818651625	11.436650789	0.89786623893	0.33459976112	230.010055774	21
17.5646853653	11.4155965295	0.920650468211	0.464718416237	248.609049769	19
17.5661153067	11.4462562065	0.954929242398	0.459256492643	247.029969435	19
17.5774000551	11.4405376806	0.831414174789	0.345123594813	228.361871678	21
17.554053801	11.4250278604	0.97043280299	0.481775442248	241.827988506	19
17.5856560951	11.431230995	0.924440539654	0.437946883503	228.156218902	21
17.5792843986	11.4310357057	0.692313921529	0.411463559195	241.525877426	20
17.5824134108	11.3923241349	0.937886434867	0.373850854909	232.155995005	21
17.5790432689	11.4343608743	0.818884269479	0.479824998255	253.330090047	19
17.5903037554	11.4242867258	0.855737771009	0.439287996805	230.697963414	21
