# L_0 	 M_0 	 beta 	 gamma 	 chi_sqr 	 Number of Bins
17.6719	11.25	0.9	0.2	297.034426115	20
17.6660528922	11.2422799762	0.901300666126	0.197416322044	296.133531621	20
17.685485629	11.2465320533	0.941512122117	0.174464262165	302.254815625	20
17.683649976	11.2368280102	0.900939204585	0.0974843637278	305.615939341	20
17.6641371641	11.2555471932	0.954379686432	0.160329347794	295.789991875	20
17.6620451437	11.264756922	1.01157297781	0.236534935875	291.481180603	20
17.6823211404	11.271888374	1.00140282307	0.224159212229	298.644873951	20
17.6565852863	11.2611059026	0.992982473545	0.273056981231	288.632013932	20
17.6644587209	11.2622683411	0.902640199104	0.282734901378	291.52636856	20
17.6365724144	11.2537425175	1.01528754419	0.182875085994	285.978397022	20
17.6466879442	11.2512662957	1.01235601008	0.184361214524	288.922026694	20
17.6271740692	11.2545289324	0.973821360736	0.197051273147	281.523582867	20
17.6440846797	11.2635448758	0.951050124197	0.202181436216	286.81014232	20
17.6339939489	11.2598850219	1.00679306657	0.198274360516	284.577282923	20
17.6219480054	11.2580472272	0.95938966017	0.204533389595	279.669952178	20
17.6200250726	11.2543892581	0.945704422175	0.215709779868	278.674858308	20
17.6291063219	11.2673345577	1.00336934452	0.216451028084	280.662114109	20
17.619845235	11.2560919225	0.992766283754	0.230990426553	278.141768651	20
17.6163587063	11.2472421428	0.985130322426	0.231876242177	278.208915798	20
17.6216962518	11.2491518665	1.08562916863	0.259882821975	263.751581464	21
17.626312391	11.2397569429	1.06580125972	0.289104790818	280.066055533	20
17.6251379353	11.2643922164	1.07411772035	0.20625904356	264.686018187	21
17.6255521992	11.2691368831	0.992467827222	0.192276431874	279.638076161	20
17.6206526605	11.2812003528	1.09928650147	0.106123401769	264.086106306	21
17.6237848528	11.2873393328	1.12205973761	0.0817116188884	264.46091802	21
17.6253958096	11.2666870308	0.961382763125	0.112833353685	281.796180311	20
17.6328422459	11.2759280637	1.07380967165	0.124301627396	267.991875887	21
17.6058722214	11.2999889821	1.07645559255	0.0789161037816	257.819650558	21
17.6111572262	11.3088742459	1.03023160589	0.092755858981	258.1231962	21
17.6257458015	11.3050657871	0.878482166507	0.077903463278	278.521125201	20
17.6181216144	11.3102326527	0.984177400584	0.119358883538	259.040478045	21
17.6156694106	11.3037692654	1.0357727158	0.0512364170409	260.598555491	21
17.6086301081	11.3266255516	1.04946937978	0.0724211627118	255.778266375	21
17.5906479446	11.3294037399	1.02233595776	0.101429765177	249.242629723	21
17.5876359907	11.3294582356	0.990684090441	0.0628058735571	248.968734474	21
17.5863147845	11.3336949596	1.06423909303	0.0754732104332	247.958149874	21
17.5887990506	11.3308001184	1.03258245941	0.117922648867	248.683048542	21
17.5925720385	11.3279040315	0.979869635592	0.104544878954	250.197958705	21
17.6004214116	11.3280715353	1.00766023407	0.0526714102665	252.897495457	21
17.5963000659	11.3318050813	0.974688135631	0.12752571906	250.1382284	21
17.6015584234	11.3262690556	0.941451608786	0.189976492926	250.901812284	21
17.592744214	11.3256240916	1.00554312313	0.222387279993	247.60039397	21
17.596469481	11.347600503	0.980748450757	0.227335124285	247.020210026	21
17.5954932994	11.3545792076	0.959412215681	0.1795348331	246.70107846	21
17.6021637231	11.3585102219	0.983188298944	0.156636675214	248.488906886	21
17.5990620377	11.3522991148	0.920658303313	0.185140895679	247.819237852	21
17.6021933645	11.3281617681	1.0226306442	0.230310962628	250.591405239	21
17.5978780042	11.3817541074	1.03010047584	0.186594484069	243.770992384	21
17.607835312	11.3806652608	1.0653827062	0.169198035347	247.121698592	21
17.6002744128	11.3852098188	0.975905013945	0.155085410488	244.508445474	21
17.5808194264	11.3850332717	0.969096117935	0.173542170585	238.445174964	21
17.5694869652	11.4036350299	0.967499060531	0.199403724456	232.816242655	21
17.5712380965	11.4189990448	1.02712596179	0.115203818838	231.764663617	21
17.5696128428	11.4273776883	1.04662150516	0.115098123588	229.89128724	21
17.5835216615	11.445586767	1.13133531258	0.119503231292	230.008112834	21
17.5749524297	11.4413208686	1.20434905492	0.0545769744378	227.474829977	21
17.5791404203	11.4164595563	1.13597183422	0.0922568127024	233.231905404	21
17.5789093115	11.446162446	1.2957878265	0.0137316083331	226.151948247	21
17.5836216149	11.4581368685	1.27132248232	0.0108013872349	225.591262809	21
17.5782894435	11.457574125	1.36063699166	0.0499517746841	221.766082161	21
17.5970201872	11.4393466474	1.41135032924	0.0553476283397	229.340591175	21
17.5718003076	11.4607899531	1.28864297397	0.0084204378673	221.585451282	21
17.5608210971	11.4704524402	1.28265466203	0.00343004995486	217.197341287	21
17.5495660476	11.4576278513	1.28531702316	0.0844488270815	216.491918116	21
17.5281868714	11.4646851715	1.31339744405	0.0638140687988	209.197170044	21
17.5384678105	11.4592295264	1.34790254623	0.121175410351	211.834726142	21
17.5313363045	11.4594539434	1.32806070386	0.0469628344083	210.687971584	21
17.5346288934	11.4483835545	1.29648463899	0.0707976749006	213.807202675	21
17.5233154603	11.4575764893	1.43897226574	0.0677206973246	206.863642053	21
17.5318045437	11.4520380206	1.37152807011	0.0695816375395	211.723870289	21
17.5258088717	11.463303484	1.45347661388	0.132183389555	205.811789796	21
17.5186365569	11.4680003713	1.50448916647	0.149109410096	202.580292147	21
17.5293862274	11.4673742519	1.54900216113	0.131435908541	205.028454521	21
17.5105528875	11.4618719394	1.43378914749	0.20985508753	202.052289678	21
17.4978878317	11.4570449359	1.4308165265	0.229770469156	198.806212813	21
17.5099000429	11.4634266099	1.48122568525	0.224746797449	201.116669324	21
17.5183746232	11.4364174818	1.37196485323	0.186761480381	209.313312388	21
17.5172904471	11.467447559	1.46453168756	0.197387023284	202.577335136	21
17.5016417476	11.4516226232	1.39903415664	0.234334793622	201.475703897	21
17.5013256073	11.4464123293	1.39103754812	0.248502123263	201.444292958	21
17.4915659144	11.4511198675	1.41961620169	0.266218132559	197.428870729	21
17.4947906391	11.4664990351	1.38910167966	0.25081964831	196.942346574	21
17.4884308383	11.4688833752	1.40880574788	0.263883272867	194.015221554	21
17.4957130673	11.4612733891	1.39754617687	0.29892584284	196.537871778	21
17.486703217	11.4588807048	1.31963000878	0.256820052468	195.884804256	21
17.4871197264	11.4654499751	1.25920524544	0.3104988896	194.842157391	21
17.4815271655	11.4593375097	1.19499762009	0.251728475527	196.363131202	21
17.4932143599	11.4658551426	1.22312081456	0.321155620816	196.706480147	21
17.4850684573	11.4559689701	1.31580517571	0.264320698413	195.447924787	21
17.495477709	11.457804615	1.23991803833	0.196140733505	201.480719912	21
17.4799934905	11.4505513429	1.33273303795	0.203925373352	196.77180908	21
17.5060525842	11.4603808358	1.33540750637	0.218052766592	202.307799056	21
17.489952648	11.4547650099	1.34233696432	0.281565689891	196.698964461	21
17.4697329297	11.4504409808	1.2751911704	0.199756650214	194.467710644	21
17.4656064601	11.4568472216	1.26997151265	0.30997805529	200.205897521	20
17.4780754116	11.4646561909	1.22792289219	0.241312536565	193.942956778	21
17.4623361598	11.464829622	1.26874593976	0.214462132081	190.092280312	21
17.4533092337	11.4588915585	1.33227308182	0.220110768651	186.698913494	21
17.4511516954	11.4505916256	1.34097812646	0.239105423199	187.447583262	21
17.4591571221	11.4548793938	1.28930168931	0.167084178367	191.484050124	21
17.4537093982	11.4496515337	1.27865121096	0.213529380217	189.342954102	21
17.4460253893	11.4593872205	1.32957691628	0.269701906852	183.722318398	21
17.4528379614	11.4609964706	1.32004463897	0.248502606386	185.909344943	21
17.4320504374	11.4597979334	1.28611920265	0.297298775556	201.173171587	19
17.4306514815	11.4432798484	1.28030494224	0.198852876586	184.008144276	21
17.4172609922	11.4342000431	1.32676336838	0.177314502891	181.811131952	21
17.4102285224	11.4413604416	1.26382930883	0.169103563305	178.850367407	21
17.4126081454	11.4575983087	1.33163307204	0.244751897753	174.960420028	21
17.4066599159	11.4600313158	1.31660948593	0.229286909647	174.127344614	21
17.4178442714	11.4657410167	1.31781582057	0.275620325232	196.548830267	19
17.4095438326	11.4576705568	1.28038373636	0.234704738019	175.170372475	21
17.4026274356	11.4617820071	1.30697067081	0.300897238505	190.324438763	19
17.4032680211	11.4657472608	1.32456392327	0.233937298749	171.767114974	21
17.4039715397	11.4769117882	1.31940995197	0.181715025144	171.989281562	21
17.3982444679	11.4828317694	1.32983868209	0.205153684984	169.289233086	21
17.4138023138	11.4777060103	1.29292325605	0.191366402999	174.702978788	21
17.4037046421	11.4860886313	1.24453017839	0.241443524922	169.4383181	21
17.4208361852	11.4774084158	1.27848959651	0.240679042257	175.663455138	21
17.4032398682	11.4992082598	1.17854568605	0.264206861545	189.533730167	19
17.413158346	11.4863142361	1.27291062943	0.198993966649	173.313462739	21
17.4145157069	11.4936531611	1.31683724113	0.303246277767	190.566988917	19
17.3972759487	11.5000401479	1.21326484786	0.272601263109	186.688362501	19
17.3796518398	11.4966201487	1.17815350782	0.213233677487	162.860801881	21
17.3733236757	11.509387812	1.07482999319	0.248602756914	179.722273953	19
17.3749054393	11.4948984233	1.08858692653	0.12082176211	165.154603348	21
17.3614507693	11.4900734083	1.14878003352	0.135866030515	161.382232924	21
17.3680205082	11.4892395509	1.22077836018	0.126880041089	163.132298358	21
17.3595820758	11.5050151089	1.16196675681	0.10241640792	159.676001054	21
17.3555365707	11.5061149384	1.08732683698	0.110289422129	158.570934767	21
17.3606048018	11.5153979023	1.05929377799	0.000883149747492	160.814586831	21
17.3410210043	11.5099717277	1.08244445441	0.0878924848104	154.766094062	21
17.3458920164	11.5135625728	1.11622280252	0.0427092037388	156.134557892	21
17.3449462172	11.5152674883	1.03843544805	0.140910389738	154.795781674	21
17.3347059322	11.5133517456	1.07669683349	0.228842656752	167.520062558	19
17.3201541028	11.5097997172	1.07513960063	0.101537217818	149.163472304	21
17.3202230809	11.5264678599	1.02104343545	0.0789055521205	148.215214789	21
17.3126606114	11.5216552614	1.04186148818	0.0787551689463	146.673763483	21
17.2983964957	11.530864838	1.06762208443	0.0303441001845	142.44729529	21
17.3139940842	11.5522988443	1.09587038242	0.124717768172	141.794803	21
17.3284580099	11.5432390372	1.05161483909	0.0777660394394	147.786027817	21
17.3214707196	11.5442264052	1.14026099425	0.063605237756	145.604543449	21
17.3369971243	11.5693831885	1.02942311505	0.0792019462853	147.243712826	21
17.3004796158	11.5596048647	1.11924299303	0.106384279713	137.740360848	21
17.2845830173	11.5493375021	1.05363139462	0.144634267139	150.159246137	19
17.3062786426	11.5558217415	1.1790052934	0.0645587784469	139.976355995	21
17.3064490804	11.5641162828	1.20719869016	0.0863004140949	138.233651838	21
17.306290576	11.5570364872	1.24272423721	0.153004012987	137.586344441	21
17.3001148966	11.5540865324	1.2965769314	0.151381342973	135.656581653	21
17.2985494695	11.5475573675	1.28998289775	0.111513570577	137.350486107	21
17.3001611313	11.5392476609	1.36623545881	0.176479853082	153.636437841	19
17.2901651163	11.5512274628	1.33411131456	0.207947224054	148.384737048	19
17.3128966316	11.5527719296	1.30272721359	0.163329540942	139.031677751	21
17.3000855797	11.5510640565	1.39100668205	0.208729542678	150.466064507	19
17.2817588344	11.5420153586	1.29619683655	0.158012452434	148.684040224	19
17.3097642931	11.5545714513	1.32475810581	0.166545487682	137.451687776	21
17.3099706604	11.5500801883	1.22255942801	0.160042096811	138.98247752	21
17.3017517758	11.5571441241	1.28533605169	0.147073809808	136.057447044	21
17.2898169064	11.550450549	1.22735184808	0.258258827539	146.226834352	19
17.307017766	11.5589898832	1.29610920752	0.184067114852	153.151023608	19
17.2979135614	11.5613232881	1.3259907646	0.120805907599	135.184689417	21
17.3095386448	11.5703620152	1.37243246384	0.13271028846	136.296089764	21
17.3038476255	11.5567608355	1.14879855793	0.0765486254294	139.421178383	21
17.2965296576	11.5605510812	1.33433219037	0.0188485398798	136.553477719	21
17.2965694655	11.572124712	1.3051387536	0.0318139385411	135.182019513	21
17.3002208505	11.5682199011	1.30661495805	0.0371751992741	136.42974861	21
17.2932330037	11.5663788013	1.37405194791	0.0738066795711	134.085329108	21
17.2899136706	11.5783250954	1.38583276755	0.145484178741	129.877402367	21
17.2929506308	11.5875066383	1.34585627339	0.23616138808	143.556674785	19
17.2923039136	11.5661685822	1.36928212807	0.16260834396	147.982794404	19
17.3033638318	11.5864405178	1.3998486358	0.246738511345	145.460553643	19
17.2892654545	11.5779309393	1.36914954344	0.21345380331	144.404058013	19
17.2711674325	11.5742568822	1.40991369379	0.105174106864	126.817039084	21
17.2755580394	11.5708672857	1.45949729968	0.150278487631	142.859357975	19
17.2760582966	11.5800699007	1.49023827455	0.0710820375702	128.010352204	21
17.2818081942	11.5441767121	1.49795889073	0.157646073019	147.69737254	19
17.269081904	11.5824523177	1.44138217906	0.104458749196	125.374469395	21
17.2683288561	11.587018359	1.35750020128	0.0750329723793	126.031548069	21
17.2707917668	11.5847066293	1.39100979168	0.138612526878	140.60337107	19
17.2543025455	11.5765936294	1.45405435998	0.0665790307653	123.990727173	21
17.2553123092	11.5754690964	1.4420154357	0.0562655922442	124.367828159	21
17.2518718378	11.5747381116	1.39668193145	0.117668014621	137.263133901	19
17.2550769462	11.5774542066	1.43440939513	0.0922235154834	123.031516275	21
17.2703883011	11.5712234366	1.48314257384	0.096077401951	127.206110436	21
17.2567795556	11.5758157542	1.35448666126	0.0946057698188	124.089826489	21
17.2519788978	11.5727351464	1.34705425295	0.062529358737	124.235330678	21
17.247661669	11.5646498978	1.46180118132	0.119602226097	137.17551056	19
17.2412371915	11.5836793386	1.39298173272	0.0561659709297	120.045661646	21
17.2594952202	11.5906581829	1.42667450229	0.0746313172888	123.159493198	21
17.2680304041	11.5816431248	1.40652268279	0.0541195118217	126.477138086	21
17.2359512268	11.5739452234	1.38320303769	0.071916306443	119.803284373	21
17.2402040216	11.5775539601	1.44628333114	0.00348967552537	121.688636508	21
17.2532178216	11.5859801871	1.34634749362	0.143669661488	135.542323484	19
17.2384543853	11.589521638	1.34924156554	0.072603055684	118.201494171	21
17.2305820377	11.5634900154	1.3811746349	0.101592695012	133.641613921	19
17.2235006332	11.6013328563	1.36683606601	0.214757213717	122.338624929	19
17.259924272	11.614291145	1.35463377094	0.045666158776	121.062833029	21
17.2274082068	11.5853916761	1.402970894	0.00372734252429	118.111606538	21
17.2308628171	11.5949578534	1.44470283729	0.0899750447441	122.445830369	20
17.2330786787	11.5750852541	1.36990099799	0.00250488246817	120.969171038	21
17.2142898637	11.5940191193	1.44347332317	0.0632875121534	112.461915423	21
