$\log_{10}(L_0)$, mean value = 17.9777602132, cosmic std dev=0.0384289398725, mean sigma per box =0.242584972325
$\log_{10}(M_0)$, mean value = 11.1652812898, cosmic std dev=0.0470680412632, mean sigma per box =0.523783529542
$\beta$, mean value = 1.36220529431, cosmic std dev=0.0833255385354, mean sigma per box =0.538667928678
$\gamma$, mean value = 0.024186548475, cosmic std dev=0.0204497054409, mean sigma per box =0.504130143289
