$\log_{10}(L_0)$, mean value = 17.6301945099, cosmic std dev=0.0145496877461, mean sigma per box =0.181987124357
$\log_{10}(M_0)$, mean value = 10.8758577621, cosmic std dev=0.04899152472, mean sigma per box =0.459122405434
$\beta$, mean value = 1.55643173102, cosmic std dev=0.0356711668824, mean sigma per box =0.750782787233
$\gamma$, mean value = 0.0932979371369, cosmic std dev=0.0421661030224, mean sigma per box =0.321324524221
