# log10(L_0), -delta, +delta, log10(M_0), -delta, +delta, beta, -delta, +delta, gamma, -delta, +delta, chi2
17.7497526356,0.0883694836,+0.3368741485,10.6411798037,0.1411038953,+1.3402003786,0.992827078671,0.595394084264,+0.519984406689,0.0235284981344,0.0233046399547,+0.876355646443,0.432518821079
17.6894382266,0.0379666468,+0.3125125926,10.5311215113,0.0291076458,+1.2306717671,1.13243858709,0.688128095603,+0.29036965098,0.0139701026044,0.0137059180341,+0.732465761207,0.374226318839
17.9125810389,0.265115682,+0.1556350498,11.1818066833,0.6795386383,+0.8118682178,0.733958244757,0.348201753276,+0.850342274613,0.360578876122,0.360573709127,+0.528610150968,0.496367090055
17.8871914854,0.2142618166,+0.174272994,10.9530332581,0.4526706289,+0.8987916622,0.798502838776,0.388833101466,+0.691400259484,0.149520698149,0.149156448889,+0.724473315017,0.406151851736
17.8483591113,0.1841067015,+0.1558210445,10.8658120941,0.3656741435,+0.8561248991,0.895690278622,0.426689314638,+0.666913433678,0.169948492416,0.169543584712,+0.507605566077,0.337094099146
17.8069714161,0.1908310903,+0.1634643746,10.8767806618,0.3764053885,+0.8657079742,0.853946436136,0.390998405922,+0.705930504714,0.141370078564,0.140968633888,+0.523722618256,0.318095459609
17.8386532981,0.1836034504,+0.1779732662,10.8156943569,0.3156335156,+0.983108226,0.896077509067,0.468831713399,+0.702634341613,0.159917770887,0.159862911775,+0.692363047666,0.426781149478
17.7594717942,0.1009784753,+0.2571855341,10.6981925466,0.1915663307,+1.1440065776,1.00010943102,0.569532831788,+0.56239237805,0.0583119216447,0.0580831801194,+0.83089199911,0.372235779462
