$\log_{10}(L_0)$, mean value = 17.8115523758, cosmic std dev=0.0702510737745, mean sigma per box =0.283895231482
$\log_{10}(M_0)$, mean value = 10.8204526145, cosmic std dev=0.188482795829, mean sigma per box =1.0888894132
$\beta$, mean value = 0.912943800517, cosmic std dev=0.117979105304, mean sigma per box =0.811661574059
$\gamma$, mean value = 0.134643304815, cosmic std dev=0.10364224866, mean sigma per box =0.701229692648
