$\log_{10}(L_0)$, mean value = 18.0343777289, cosmic std dev=0.0541513141707, mean sigma per box =0.250877684187
$\log_{10}(M_0)$, mean value = 11.4067172739, cosmic std dev=0.275631976482, mean sigma per box =1.09274401528
$\beta$, mean value = 0.490455548162, cosmic std dev=0.602729173762, mean sigma per box =1.40669138002
$\gamma$, mean value = 0.19526730287, cosmic std dev=0.243666158684, mean sigma per box =0.388260367501
