$\log_{10}(L_0)$, mean value = 17.7849538795, cosmic std dev=0.0662132395753, mean sigma per box =0.214458769203
$\log_{10}(M_0)$, mean value = 11.0186009015, cosmic std dev=0.400925031231, mean sigma per box =1.07532438558
$\beta$, mean value = 0.668242072816, cosmic std dev=0.642105335939, mean sigma per box =1.4194436882
$\gamma$, mean value = 0.336463259539, cosmic std dev=0.0789669471986, mean sigma per box =0.314299193034
