#2015-05-12  16:25
# k:	0.02	0.015	0.02	0.02
# k Multiplier = 1
# DataSets =Willott
# L_0 	 M_0 	 beta 	 gamma 	 chi_sqr 	 Number of Bins
18.0	11.25	0.75	0.4	5.0565671638	5
18.0204113488	11.2426400603	0.765015989013	0.392076718282	3.89759530466	5	   
18.0588848595	11.2190766504	0.764182817437	0.383547219962	3.20411617935	5	   
18.0588848595	11.2190766504	0.764182817437	0.383547219962	3.20411617935	5	   
18.0290147623	11.2405663925	0.795530619551	0.38900654329	3.70851198901	5	   *
18.0182268249	11.2395650375	0.75761469903	0.396783512501	4.04468106875	5	   *
18.024244845	11.229249646	0.721150314984	0.371483818935	3.85084100079	5	   
18.0310268479	11.2397221057	0.706913668219	0.416311433091	3.91515369616	5	   *
18.0488680985	11.2555653989	0.680043718093	0.415628927498	3.62666245605	5	   
18.0488680985	11.2555653989	0.680043718093	0.415628927498	3.62666245605	5	   
18.0488680985	11.2555653989	0.680043718093	0.415628927498	3.62666245605	4	   +1 
18.042944264	11.2700857124	0.68722934576	0.39710225592	3.53172619986	5	   
18.0507681683	11.2618022149	0.684959510564	0.371265969245	3.358051677	5	   
18.0507681683	11.2618022149	0.684959510564	0.371265969245	3.358051677	5	   
18.0512710741	11.2495865516	0.677457808105	0.384397722383	3.42789105583	5	   *
18.0534319292	11.2349663768	0.658089279386	0.380377959329	3.42128195846	5	   
18.0534319292	11.2349663768	0.658089279386	0.380377959329	3.42128195846	5	   
18.0534319292	11.2349663768	0.658089279386	0.380377959329	3.42128195846	5	   
18.0534319292	11.2349663768	0.658089279386	0.380377959329	3.42128195846	4	   +1 
18.0534319292	11.2349663768	0.658089279386	0.380377959329	3.42128195846	5	   
18.0534319292	11.2349663768	0.658089279386	0.380377959329	3.42128195846	5	   
18.0755953615	11.2399136815	0.672676823466	0.389175829116	3.15893793552	5	   
18.0700295032	11.2262614849	0.689163478726	0.408510177973	3.24098658572	5	   *
18.0719778541	11.2394546316	0.651924382135	0.399051010441	3.20498451858	5	   
18.0737021919	11.2577757564	0.672664362056	0.418060724251	3.23784975916	5	   *
18.0737021919	11.2577757564	0.672664362056	0.418060724251	3.23784975916	4	   +1 
18.0737021919	11.2577757564	0.672664362056	0.418060724251	3.23784975916	5	   
18.0882068829	11.2513180586	0.660276525838	0.420858516491	3.11700144366	5	   
18.0957488963	11.2721972332	0.651293958854	0.415499794538	3.00178043951	5	   
18.0957488963	11.2721972332	0.651293958854	0.415499794538	3.00178043951	5	   
18.0908873638	11.2880172627	0.672452865728	0.425730399581	3.05406252874	5	   *
18.0781230495	11.2866800748	0.693133001757	0.459346362267	3.33570512373	5	   *
18.0781230495	11.2866800748	0.693133001757	0.459346362267	3.33570512373	4	   +1 
18.0716274615	11.2788705177	0.689069886369	0.437235807981	3.36487807504	5	   *
18.111648512	11.2881005531	0.687156490039	0.452987595699	2.9477438932	5	   
18.1097078381	11.2863962594	0.692706502616	0.439245187108	2.94441726296	5	   
18.1170184373	11.2847463756	0.694850922482	0.462492070335	2.91984458799	5	   
18.1363016592	11.2654555732	0.677004409274	0.454203131355	2.85538644478	5	   
18.1363016592	11.2654555732	0.677004409274	0.454203131355	2.85538644478	5	   
18.1419690879	11.2676067317	0.664690856914	0.459088828841	2.86131640366	5	   *
18.1419690879	11.2676067317	0.664690856914	0.459088828841	2.86131640366	5	   
18.1419690879	11.2676067317	0.664690856914	0.459088828841	2.86131640366	5	   
18.082349861	11.257039434	0.695528554612	0.44010916648	3.19761738927	5	   *
18.0711179499	11.280270101	0.73677661992	0.436972869418	3.22246628393	5	   *
18.0694561323	11.2879349444	0.738703061004	0.413889353152	3.17882451324	5	   
18.0694561323	11.2879349444	0.738703061004	0.413889353152	3.17882451324	5	   
18.0915903469	11.2797073395	0.741122576398	0.418454028936	3.01352292194	5	   
18.0910628509	11.2739315872	0.740324881278	0.437252195041	3.00434554796	5	   
18.0690306022	11.283885235	0.77133187078	0.441882291551	3.22220409282	5	   *
18.0801456962	11.2884457476	0.786370038701	0.428737462681	3.06184144907	5	   
18.0584216111	11.3111339087	0.796054553521	0.418356547396	3.21876749531	5	   *
18.0505394851	11.292608431	0.809573366606	0.416780854004	3.35363483471	5	   *
18.0799121026	11.3059747623	0.868066393524	0.430033001036	3.02619812871	5	   
18.0799121026	11.3059747623	0.868066393524	0.430033001036	3.02619812871	5	   
18.0799121026	11.3059747623	0.868066393524	0.430033001036	3.02619812871	5	   
18.0777315076	11.3114539092	0.853813393281	0.421083471404	3.05534358261	5	   *
18.0777315076	11.3114539092	0.853813393281	0.421083471404	3.05534358261	5	   
18.0777315076	11.3114539092	0.853813393281	0.421083471404	3.05534358261	5	   
18.082204814	11.3137205012	0.870017659761	0.420327373842	3.02080470656	5	   
18.0905735145	11.3028255442	0.843121554668	0.44081347618	2.96911679969	5	   
18.092405536	11.2964316839	0.845585327207	0.422530141285	2.94663038061	5	   
18.0683730923	11.2597241352	0.8460065219	0.421707982351	3.18905584477	5	   *
18.1102850389	11.2423431707	0.83089330323	0.448039390901	2.89511330304	5	   
18.1187243116	11.2256459547	0.850366207012	0.435634815369	2.84912645172	5	   
18.1187243116	11.2256459547	0.850366207012	0.435634815369	2.84912645172	5	   
18.1079147175	11.2446112337	0.896465528371	0.425572220542	2.89466922783	5	   *
18.1079147175	11.2446112337	0.896465528371	0.425572220542	2.89466922783	5	   
18.1079147175	11.2446112337	0.896465528371	0.425572220542	2.89466922783	5	   
18.0934509822	11.2374912593	0.918464125955	0.442053439671	2.91895031913	5	   *
